ox,a,b,c,A,B,C
0.16,-0.055668612,0,0.010637245,-0.005438823,0,0.005438823
0.15,-0.055668612,0,0.010637245,-0.005438823,0,0.005438823
0.14,-0.055668612,0,0.010637245,-0.005438823,0,0.005438823
0.13,-0.055667503,0,0.010637033,-0.005438715,0,0.005438715
0.12,-0.00891457,0,0.00170341,-0.000870953,0,0.000870953
0.11,0,0,0,0,0,0
0.1,0.034360876,0,-0.00656573,0.003357058,0,-0.003357058
0.09,0.065946959,0,-0.012601248,0.006443018,0,-0.006443018
0.08,0.063769653,0,-0.012185205,0.006230295,0,-0.006230295
0.07,0.101430707,0,-0.019381537,0.00990978,0,-0.00990978
0.06,0.074003232,-0.002879069,-0.011938978,0.007230116,-0.001125716,-0.0061044
0.05,0.196181385,-0.015301537,-0.025785293,0.019166921,-0.005982901,-0.01318402
0.04,0.246522584,-0.011049972,-0.038655814,0.024085256,-0.004320539,-0.019764717
0.03,0.274625541,-0.008963804,-0.045621099,0.026830915,-0.003504847,-0.023326068
0.02,0.272378927,-0.006544125,-0.047042183,0.026611421,-0.002558753,-0.024052668
0.01,0.308098102,-0.057791272,-0.014677874,0.030101185,-0.022596387,-0.007504797
0,0,0,0,0,0,0
