ox,a,b,c,A,B,C
0.16,-0.009427632,-0.004499258,-0.002484247,-0.005410518,-0.001232347,-0.000378102
0.15,-0.009427632,-0.004499258,-0.002484247,-0.005410518,-0.001232347,-0.000378102
0.14,-0.009427632,-0.004499258,-0.002484247,-0.005410518,-0.001232347,-0.000378102
0.13,-0.009427632,-0.004499258,-0.002484247,-0.005410518,-0.001232347,-0.000378102
0.12,-0.009189124,-0.004385501,-0.002425874,-0.005273638,-0.001201189,-0.000369218
0.11,-0.008650308,-0.004128342,-0.002282774,-0.004964412,-0.001130753,-0.000347438
0.1,-0.008112432,-0.003871661,-0.002131734,-0.004655725,-0.001060448,-0.00032445
0.09,-0.007557971,-0.003606994,-0.002001502,-0.00433752,-0.000987956,-0.000304629
0.08,-0.007035596,-0.003358048,-0.001725957,-0.004037729,-0.000919769,-0.000262691
0.07,-0.006487817,-0.003096057,-0.001568992,-0.003723358,-0.00084801,-0.000238801
0.06,-0.005907925,-0.002819307,-0.001560007,-0.003390558,-0.000772208,-0.000237433
0.05,-0.00538196,-0.002568374,-0.001300414,-0.003088707,-0.000703478,-0.000197923
0.04,-0.004833024,-0.00230631,-0.001148779,-0.002773672,-0.000631698,-0.000174844
0.03,-0.004278587,-0.002042117,-0.00102078,-0.002455481,-0.000559336,-0.000155363
0.02,-0.003705296,-0.001768257,-0.000982317,-0.00212647,-0.000484325,-0.000149509
0.01,-0.003221683,-0.00141183,-0.00075438,-0.001848924,-0.0003867,-0.000114817
0,0,0,0,0,0,0
