ox,a,b,c,A,B,C
0.16,-0.006368661,-0.105377562,-0.231126844,-0.000622218,-0.041202627,-0.118175155
0.15,-0.006368661,-0.105377562,-0.231126844,-0.000622218,-0.041202627,-0.118175155
0.14,-0.006368661,-0.105377562,-0.231126844,-0.000622218,-0.041202627,-0.118175155
0.13,-0.006368524,-0.105379288,-0.23112555,-0.000622205,-0.041203302,-0.118174494
0.12,-0.027661476,-0.09273153,-0.23672882,-0.002702526,-0.036258028,-0.121039445
0.11,-0.003853539,-0.081891101,-0.249567942,-0.000376491,-0.03201942,-0.127604089
0.1,-0.038531347,-0.07668421,-0.246923452,-0.003764513,-0.029983526,-0.126251961
0.09,-0.069904236,-0.084875689,-0.234664506,-0.006829644,-0.033186394,-0.119983962
0.08,-0.067441877,-0.066554236,-0.249145751,-0.006589071,-0.026022706,-0.127388222
0.07,-0.104811477,-0.060404166,-0.240659634,-0.010240081,-0.023618029,-0.123049271
0.06,-0.197748711,-0.058624427,-0.210600768,-0.019320049,-0.022922151,-0.107680173
0.05,-0.260208623,-0.029033897,-0.20701377,-0.025422382,-0.011352254,-0.105846141
0.04,-0.2582474,-0.027787847,-0.194962182,-0.025230771,-0.010865048,-0.099684164
0.03,-0.289804792,-0.02254167,-0.179326222,-0.028313928,-0.008813793,-0.091689497
0.02,-0.291981523,-0.017568387,-0.169119908,-0.028526595,-0.006869239,-0.086471009
0.01,-0.331510646,-0.001544591,-0.159829998,-0.03238859,-0.000603935,-0.081721078
0,0,0,0,0,0,0
