ox,a,b,c,A,B,C
0.16,-0.023113972,0,0.087155773,-0.013265109,0,0.013265109
0.15,-0.023113972,0,0.087155773,-0.013265109,0,0.013265109
0.14,-0.023113972,0,0.087155773,-0.013265109,0,0.013265109
0.13,-0.023113972,0,0.087155773,-0.013265109,0,0.013265109
0.12,-0.022431265,0,0.084581491,-0.012873303,0,0.012873303
0.11,-0.017634331,0,0.066493708,-0.010120342,0,0.010120342
0.1,-0.014417183,0,0.054362819,-0.008274021,0,0.008274021
0.09,-0.013101876,0,0.049403197,-0.007519167,0,0.007519167
0.08,-0.010069091,0,0.037967487,-0.005778652,0,0.005778652
0.07,-0.008838222,0,0.033326252,-0.005072255,0,0.005072255
0.06,-0.008767759,0,0.033060557,-0.005031817,0,0.005031817
0.05,-0.006732118,0,0.025384773,-0.003863562,0,0.003863562
0.04,-0.005543042,0,0.020901127,-0.003181152,0,0.003181152
0.03,-0.004539318,0,0.01711639,-0.002605115,0,0.002605115
0.02,-0.000785438,0,0.002961649,-0.000450763,0,0.000450763
0.01,-0.009088014,0.01571401,0.00598912,-0.005215611,0.004304067,0.000911544
0,0,0,0,0,0,0
