ox,A,B,C
0.16,-0.000152937,0,0.000152937
0.15,-0.000152937,0,0.000152937
0.14,-0.000152937,0,0.000152937
0.13,-0.000152934,0,0.000152934
0.12,0,0,0
0.11,0,0,0
0.1,-0.003357058,0,0.003357058
0.09,-0.006443018,0,0.006443018
0.08,-0.005966298,0,0.005966298
0.07,-0.008909795,0,0.008909795
0.06,-0.005361818,0,0.005361818
0.05,-0.017033666,0.006095572,0.010938094
0.04,-0.021983536,0.00420567,0.017777866
0.03,-0.024909541,0.003411665,0.021497876
0.02,-0.025441173,0.002441597,0.022999575
0.01,-0.030078594,0.022596387,0.007482207
0,0,0,0
