Genes,lb,mle,ub,ce,Z,cZ,p_value
ACE2,2.454948809,3.636961198,4.121889358,2.454948809,3.046400567,1.513354526,0.001157995
HSD11B2,0.45462015,3.515729158,4.061273338,0.45462015,2.590477367,1.068364919,0.004792146
VNN3,0.9092403,3.485421148,4.121889358,0.9092403,2.975287861,1.446322074,0.001463569
PDE9A,0.57585219,3.364189108,3.970349308,0.57585219,2.964519422,1.44604952,0.001515781
AQP3,0.24246408,3.333881098,3.818809258,0.24246408,2.375761665,0.853834747,0.008756385
HSD17B1,2.030636669,3.303573088,3.879425278,2.030636669,3.074423772,1.542643274,0.001054548
DMGDH,2.121560699,3.212649058,3.818809258,2.121560699,3.328899538,1.825675528,0.000435949
GSTA1,-0.57585219,3.212649058,3.697577218,0,1.576827773,0.03548888,0.05741758
LIPG,-0.27277209,3.212649058,3.758193238,0,1.548602927,0.017403019,0.060738601
SLC25A27,-0.24246408,3.212649058,3.727885228,0,1.460519989,0,0.072073609
SLC52A1,2.212484729,3.182341048,3.818809258,2.212484729,3.32841953,1.825675528,0.000436701
ENTPD1,1.000164329,3.152033038,3.667269208,1.000164329,2.927438035,1.41138911,0.001708836
ARSB,-0.54554418,3.152033038,3.667269208,0,1.181915955,0,0.118619525
GCNT1,0.93954831,3.121725028,3.697577218,0.93954831,2.667742393,1.150570475,0.003818139
SLC15A3,-0.15154005,3.121725028,3.606653188,0,1.680074699,0.132814569,0.046471391
B4GALT6,-0.3030801,3.061109008,3.606653188,0,1.334733232,0,0.090981837
PPOX,-0.36369612,3.030800998,3.546037168,0,1.362190308,0,0.086568917
B3GALT4,0.12123204,2.939876968,3.788501248,0.12123204,2.09678054,0.550859628,0.018006504
CMPK2,-0.03030801,2.848952939,3.576345178,0,1.935177305,0.384744432,0.026484271
OPLAH,-0.54554418,2.848952939,3.424805128,0,1.292029375,0,0.098173486
SLC4A8,-2.424640799,2.727720899,3.242957068,0,0.59438888,0,0.276126022
AKR1C1,0.39400413,1.818480599,2.848952939,0.39400413,2.29488816,0.764012126,0.010869767
SOD2,0.75770025,1.242628409,1.666940549,0.75770025,5.921652553,4.802499727,1.59E-09
KYNU,0.66677622,1.182012389,1.697248559,0.66677622,5.181986869,3.946138012,1.10E-07
NAMPT,0.6061602,1.000164329,1.333552439,0.6061602,5.854971986,4.726259556,2.39E-09
KMO,0.21215607,1.000164329,1.727556569,0.21215607,2.537846513,1.004859712,0.005576844
GLRX,0.54554418,0.969856319,1.363860449,0.54554418,5.5978191,4.424221154,1.09E-08
MGST2,0.24246408,0.9092403,1.515400499,0.24246408,2.754967846,1.228252089,0.002934895
RDH16,0.21215607,0.9092403,1.697248559,0.21215607,2.609664174,1.084915598,0.004531557
PAPSS2,0.39400413,0.87893229,1.363860449,0.39400413,3.821646355,2.353745802,6.63E-05
ATP6V1C2,0.24246408,0.87893229,1.545708509,0.24246408,2.7752064,1.245820823,0.002758334
HGD,0.21215607,0.87893229,1.515400499,0.21215607,2.691851208,1.175321301,0.003552832
ATP1B1,0.42431214,0.84862428,1.242628409,0.42431214,4.335602509,2.955623429,7.27E-06
SDR16C5,0.06061602,0.81831627,1.454784479,0.06061602,2.124329794,0.584340078,0.016821288
ACOT8,0.12123204,0.78800826,1.394168459,0.12123204,2.352068492,0.826294886,0.009334668
SLC25A12,0.09092403,0.78800826,1.485092489,0.09092403,2.314441822,0.781188189,0.01032175
ACADS,0.09092403,0.78800826,1.485092489,0.09092403,2.275513602,0.738453147,0.011437569
MGAT4A,0.06061602,0.78800826,1.485092489,0.06061602,2.186016948,0.648993378,0.014407183
