Genes,lb,mle,ub,ce,Z,cZ,p_value
RRM2,4.697906764,5.304088282,5.879960724,4.697906764,7.160812982,6.295646362,4.01E-13
TK1,3.091525741,3.667398183,4.182652474,3.091525741,7.160812982,6.295646362,4.01E-13
CTH,2.394416996,3.515852804,4.152343398,2.394416996,3.486323518,2.304481315,0.000244854
TYMS,2.515653299,3.364307424,3.940179866,2.515653299,7.160812982,6.295646362,4.01E-13
ABCD1,-0.272781683,3.333998349,3.879561715,0,1.590635093,0.226768668,0.055845861
GLS2,-1.424526567,3.333998349,3.909870791,0,1.174695615,0,0.120058257
ALDH4A1,0.181854455,3.303689273,3.909870791,0.181854455,2.336072802,1.010705663,0.009743724
ASRGL1,2.21256254,3.212762045,3.879561715,2.21256254,2.887837911,1.629062226,0.001939499
ITPKA,1.818544554,3.212762045,3.818943563,1.818544554,2.883195012,1.623887515,0.001968318
CHKB,-0.121236304,3.212762045,3.849252639,0,1.878201162,0.520494121,0.030176826
TBXAS1,-0.030309076,3.152143893,3.697707259,0,1.915788771,0.557580382,0.027695994
GPX3,-0.454636138,3.061216665,3.606780032,0,1.186479417,0,0.117716513
DLST,-0.242472607,3.03090759,3.606780032,0,1.586955441,0.223881725,0.056261368
DHRS4,-1.121435808,2.87936221,3.455234652,0,0.987184856,0,0.161776012
DDC,-2.818744058,2.849053134,3.364307424,0,0.69298687,0,0.244158896
DTYMK,1.394217491,1.84885363,2.333798844,1.394217491,7.160812982,6.295646362,4.01E-13
GGH,1.060817656,1.636690098,2.121635313,1.060817656,6.250266636,5.318276829,2.05E-10
MT-CO2,0.424327063,1.606381022,1.909471781,0.424327063,4.092557764,2.957779065,2.13E-05
RRM1,0.66679967,1.303290264,1.909471781,0.66679967,4.112696752,2.977478291,1.96E-05
MT-ND3,0.66679967,1.212363036,1.818544554,0.66679967,5.385308179,4.383985806,3.62E-08
MT-ND5,0.454636138,1.212363036,1.879162706,0.454636138,2.924577301,1.665319692,0.001724622
DUT,0.606181518,1.121435808,1.576071947,0.606181518,4.560032784,3.470307303,2.56E-06
DCK,0.363708911,1.121435808,1.69730825,0.363708911,2.774529658,1.497191716,0.00276408
MT-ND2,0.454636138,1.091126732,1.606381022,0.454636138,4.375521097,3.259337778,6.06E-06
DNMT1,0.484945214,1.03050858,1.545762871,0.484945214,3.838926123,2.687364828,6.18E-05
MT-ND4,0.757726897,1.000199505,1.363908415,0.757726897,7.151691842,6.291445553,4.29E-13
MTHFD1,0.606181518,1.000199505,1.363908415,0.606181518,5.360775851,4.358818126,4.14E-08
MT-CO3,0.484945214,1.000199505,1.485144719,0.484945214,4.390616509,3.277590393,5.65E-06
COQ2,0.242472607,0.969890429,1.606381022,0.242472607,2.679560843,1.391101804,0.00368594
RDH12,0.242472607,0.969890429,1.576071947,0.242472607,2.677015296,1.388999182,0.003714062
MT-CYB,0.484945214,0.939581353,2.000399009,0.484945214,5.345587706,4.34487012,4.51E-08
SEPHS1,0.454636138,0.939581353,1.394217491,0.454636138,4.022705423,2.887035167,2.88E-05
MVK,0.242472607,0.939581353,1.485144719,0.242472607,2.740943687,1.462511535,0.00306315
SHMT1,0.333399835,0.909272277,1.424526567,0.333399835,3.098577077,1.860558188,0.000972262
SLC16A1,0.212163531,0.909272277,1.636690098,0.212163531,2.577974235,1.272630588,0.00496907
MT-ND4L,-0.060618152,0.909272277,1.84885363,0,1.873761672,0.517388353,0.030481641
MT-ND1,0.363708911,0.878963201,1.394217491,0.363708911,3.956894281,2.81955634,3.80E-05
SLC25A10,0.333399835,0.818345049,1.272981188,0.333399835,3.430301252,2.240223619,0.000301456
SUV39H2,0.121236304,0.818345049,1.545762871,0.121236304,2.394828164,1.071582435,0.008314078
MT-CO1,0.333399835,0.788035973,1.84885363,0.333399835,3.831619883,2.680219101,6.37E-05
LTA4H,0.212163531,0.788035973,1.303290264,0.212163531,2.812224021,1.540341609,0.002460011
ACSS1,0.030309076,0.788035973,1.454835643,0.030309076,2.115768661,0.774909725,0.017182244
GPX2,-0.030309076,0.757726897,1.424526567,0,1.895141926,0.538249682,0.029036801
B4GALT2,0.121236304,0.727417821,1.242672112,0.121236304,2.410858555,1.087855893,0.00795751
BCAT1,-0.121236304,0.727417821,1.394217491,0,1.702840047,0.324289171,0.044299003
SUV39H1,0.060618152,0.697108746,1.485144719,0.060618152,2.218393766,0.880740708,0.013263998
NLN,0.030309076,0.697108746,1.333599339,0.030309076,2.070668091,0.718734416,0.019194912
CLTRN,-0.121236304,0.66679967,1.454835643,0,1.716322483,0.341437959,0.043051518
SLC43A2,-0.121236304,0.66679967,1.303290264,0,1.696669303,0.318551113,0.0448796
SLC19A1,-0.121236304,0.66679967,1.333599339,0,1.665881551,0.288995569,0.047868504
PIGK,-0.151545379,0.66679967,1.394217491,0,1.603970299,0.235962473,0.0543603
PIK3C2G,-2.909671286,0.66679967,3.303689273,0,0.882522584,0,0.188747136
PSAT1,0.121236304,0.636490594,1.212363036,0.121236304,2.452704769,1.132015997,0.007089333
CTPS2,0.090927228,0.636490594,1.151744884,0.090927228,2.358327773,1.031979977,0.009178738
B4GALNT1,-0.151545379,0.636490594,1.303290264,0,1.590912051,0.226768668,0.055814685
ARG2,-0.121236304,0.606181518,1.272981188,0,1.694976215,0.317733696,0.045039966
PHGDH,0.212163531,0.575872442,0.878963201,0.212163531,3.422267637,2.231285393,0.000310506
KMT5A,-0.121236304,0.575872442,1.515453795,0,1.633549798,0.259579476,0.051176708
SLC7A5,0.181854455,0.545563366,0.848654125,0.181854455,2.908405403,1.649319778,0.001816385
ACAT1,0.090927228,0.545563366,1.000199505,0.090927228,2.385721055,1.062049535,0.008522837
CTPS1,-0.060618152,0.545563366,1.121435808,0,1.81824339,0.448862526,0.03451347
SLC23A2,-0.303090759,0.545563366,2.697507755,0,1.323204535,0.018247538,0.092883684
OXCT1,-0.272781683,0.545563366,1.242672112,0,1.296078486,0,0.097474223
GOT2,0.121236304,0.51525429,0.909272277,0.121236304,2.601294717,1.303182651,0.004643631
IMPA2,0.060618152,0.51525429,0.939581353,0.060618152,2.236140757,0.898426311,0.012671276
HADH,0.030309076,0.51525429,0.969890429,0.030309076,2.201844665,0.860822051,0.013838141
ALDH7A1,0.030309076,0.51525429,0.969890429,0.030309076,2.099442063,0.754203647,0.017888975
ABCC5,-0.060618152,0.51525429,1.060817656,0,1.775777949,0.401289576,0.037884762
BCAT2,-0.060618152,0.51525429,1.000199505,0,1.767961946,0.394612266,0.038533633
AGPAT5,-0.090927228,0.51525429,1.091126732,0,1.725464917,0.351487432,0.042221861
DGKH,-0.212163531,0.51525429,1.18205396,0,1.401800826,0.071102895,0.080487366
UCK1,-0.242472607,0.51525429,1.121435808,0,1.330143543,0.021054135,0.091735491
ETNK2,-0.303090759,0.51525429,1.363908415,0,1.232245841,0,0.108928632
DCXR,0.060618152,0.484945214,0.878963201,0.060618152,2.258153944,0.926548771,0.011968032
HLCS,-0.212163531,0.484945214,1.091126732,0,1.353695788,0.034602432,0.087916726
SLC25A21,-0.242472607,0.484945214,1.272981188,0,1.329396816,0.021054135,0.091858544
DHFR,-0.303090759,0.484945214,1.303290264,0,1.224072026,0,0.110462529
SLC1A5,0.151545379,0.454636138,0.727417821,0.151545379,3.300991139,2.083903099,0.00048172
SLC7A1,0.090927228,0.454636138,0.727417821,0.090927228,2.704556595,1.421410877,0.003419781
CAD,-0.060618152,0.454636138,0.878963201,0,1.773258623,0.397932732,0.038092931
NDUFS2,-0.090927228,0.454636138,0.969890429,0,1.712892794,0.337598593,0.043366132
CHSY1,-0.151545379,0.454636138,1.000199505,0,1.475562253,0.128212479,0.070030722
ABCG2,-0.242472607,0.454636138,1.242672112,0,1.328703862,0.021051819,0.091972845
SLC29A1,-0.212163531,0.454636138,1.03050858,0,1.315975158,0.012436608,0.09409119
CPT2,-0.242472607,0.454636138,1.091126732,0,1.295947273,0,0.097496826
CPOX,-0.242472607,0.454636138,1.000199505,0,1.288985132,0,0.098701628
COQ3,-0.272781683,0.454636138,1.151744884,0,1.255879606,0,0.104579812
ELOVL2,-0.51525429,0.454636138,1.424526567,0,0.968110063,0,0.166494702
SLC25A5,0.151545379,0.424327063,0.66679967,0.151545379,3.255528157,2.032954882,0.000565908
SHMT2,0.121236304,0.424327063,0.66679967,0.121236304,2.861186094,1.598403028,0.002110296
PCK2,0.090927228,0.424327063,0.757726897,0.090927228,2.631259924,1.332000306,0.004253447
DPYSL2,0.060618152,0.424327063,0.788035973,0.060618152,2.303423314,0.974722407,0.010627519
PIP5K1A,0,0.424327063,0.848654125,0,2.073732109,0.722710174,0.019052099
SDHA,0,0.424327063,0.818345049,0,2.029141048,0.677819997,0.021221963
MTHFD1L,-0.030309076,0.424327063,0.818345049,0,1.919978885,0.561359698,0.027430283
NT5C,-0.151545379,0.424327063,0.848654125,0,1.476621431,0.128608935,0.069888572
ATP6V0A2,-0.151545379,0.424327063,0.939581353,0,1.466673342,0.121334349,0.071232469
MMUT,-0.242472607,0.424327063,0.969890429,0,1.22408658,0,0.110459784
B4GALT7,-0.303090759,0.424327063,0.969890429,0,1.157077917,0,0.123620264
ALDH5A1,-0.303090759,0.424327063,1.03050858,0,1.154863084,0,0.124073249
PLCD3,-0.333399835,0.424327063,1.091126732,0,1.140972443,0,0.126940695
GLA,-0.333399835,0.424327063,1.091126732,0,1.108317677,0,0.133862322
PANK2,-0.333399835,0.424327063,1.03050858,0,1.102652037,0,0.135089151
NADK,-0.363708911,0.424327063,1.242672112,0,1.098638151,0,0.135962965
GALNT12,-0.394017987,0.424327063,1.121435808,0,1.005717812,0,0.157275666
ECHS1,0.060618152,0.394017987,0.66679967,0.060618152,2.564751977,1.257397188,0.005162479
PNP,0.030309076,0.394017987,0.727417821,0.030309076,2.232695217,0.895410623,0.012784525
ASNS,0.030309076,0.394017987,0.727417821,0.030309076,2.215613411,0.877826952,0.013358995
IDH2,0.030309076,0.394017987,0.727417821,0.030309076,2.185543946,0.844261305,0.014424494
GLO1,0,0.394017987,0.757726897,0,2.09901258,0.753903091,0.017907896
EBP,0,0.394017987,0.727417821,0,2.098576743,0.75359054,0.017927114
IMPDH2,-0.030309076,0.394017987,0.788035973,0,1.951554886,0.59792629,0.025495537
TKT,-0.030309076,0.394017987,0.757726897,0,1.881175853,0.523165843,0.029974001
HMBS,-0.090927228,0.394017987,0.848654125,0,1.617518389,0.248652153,0.052883215
PNPO,-0.090927228,0.394017987,0.818345049,0,1.60406504,0.235962473,0.054349858
SOAT2,-0.121236304,0.394017987,3.818943563,0,1.585091547,0.222940682,0.056472768
ALOX12B,-0.303090759,0.394017987,3.424925576,0,1.398804733,0.068854966,0.080935773
G6PC3,-0.181854455,0.394017987,0.939581353,0,1.379411921,0.05534155,0.083883893
SLC5A6,-0.181854455,0.394017987,0.878963201,0,1.356469358,0.035763563,0.087474939
ACOX3,-1.576071947,0.394017987,3.424925576,0,1.208924093,0,0.113346004
MECR,-0.272781683,0.394017987,1.060817656,0,1.165464773,0,0.121915456
RPIA,-0.303090759,0.394017987,0.969890429,0,1.129191472,0,0.129408535
PRPS2,-0.303090759,0.394017987,1.091126732,0,1.111008703,0,0.133282302
PANK4,-0.303090759,0.394017987,1.03050858,0,1.10775612,0,0.133983578
ACAA2,-0.303090759,0.394017987,1.242672112,0,1.106427688,0,0.134270723
ECI2,-0.303090759,0.394017987,1.03050858,0,1.088374828,0,0.138214835
IP6K1,-0.333399835,0.394017987,1.091126732,0,1.06986211,0,0.14234069
PIGU,-0.333399835,0.394017987,1.121435808,0,1.058662686,0,0.144876714
PTGES3,0.090927228,0.363708911,0.606181518,0.090927228,2.920784585,1.660852252,0.001745756
GSR,0.030309076,0.363708911,0.636490594,0.030309076,2.363274398,1.037131813,0.009057126
SLC38A1,0.030309076,0.363708911,0.636490594,0.030309076,2.161509151,0.826075455,0.015328015
DCTPP1,0,0.363708911,0.66679967,0,2.026432487,0.675660835,0.021360242
CBS,-0.030309076,0.363708911,0.697108746,0,1.905160641,0.547766361,0.028379596
IDH3A,-0.060618152,0.363708911,0.757726897,0,1.797986167,0.427679346,0.0360896
PSPH,-0.090927228,0.363708911,0.788035973,0,1.671624328,0.291856704,0.047299212
ACAT2,-0.090927228,0.363708911,0.818345049,0,1.564918575,0.20262692,0.058801001
PFAS,-0.303090759,0.363708911,1.03050858,0,1.082387378,0,0.139540217
AGL,-0.363708911,0.363708911,1.091126732,0,0.973704705,0,0.16510159
PECR,-0.484945214,0.363708911,1.424526567,0,0.968849408,0,0.166310165
SLC5A3,-0.363708911,0.363708911,1.060817656,0,0.961022586,0,0.168270406
PYCR1,0.030309076,0.333399835,0.636490594,0.030309076,2.207066061,0.866604464,0.013654722
SLC25A11,-0.121236304,0.333399835,0.757726897,0,1.480538506,0.131706777,0.069364796
ETFB,-0.242472607,0.333399835,0.818345049,0,1.155623795,0,0.123917535
GCDH,-0.394017987,0.333399835,1.121435808,0,0.932425523,0,0.17555833
DGKE,-0.394017987,0.333399835,0.969890429,0,0.90493966,0,0.182748677
PLCB4,-0.394017987,0.333399835,0.909272277,0,0.860758408,0,0.194685558
CSGALNACT2,-0.424327063,0.333399835,0.969890429,0,0.843271511,0,0.199538306
ADCY3,-0.424327063,0.333399835,0.909272277,0,0.842859313,0,0.199653565
SLC1A1,-3.121834817,0.333399835,1.121435808,0,0.515029155,0,0.303266324
G6PD,-0.030309076,0.303090759,0.545563366,0,1.943926405,0.588352062,0.025952163
SLC25A1,-0.030309076,0.303090759,0.636490594,0,1.816208177,0.446932486,0.034669222
GPAA1,-0.090927228,0.303090759,0.66679967,0,1.497446302,0.140929977,0.067138584
NDUFV2,-0.121236304,0.303090759,0.727417821,0,1.467594649,0.121686754,0.071107181
AMD1,-0.121236304,0.303090759,0.697108746,0,1.448551578,0.104209291,0.073731426
