sample,run_accession,subset,type,status
0,com_0.106_0.3694_0.5245,MCF7,spheroid_syn,OK
1,com_0.0576_0.4062_0.5362,MCF7,spheroid_syn,OK
2,com_0.0933_0.3883_0.5184,MCF7,spheroid_syn,OK
3,com_0.1149_0.4093_0.4758,MCF7,spheroid_syn,OK
4,com_0.0533_0.4236_0.5231,MCF7,spheroid_syn,OK
5,com_0.1035_0.3746_0.5219,MCF7,spheroid_syn,OK
6,com_0.0787_0.4004_0.5209,MCF7,spheroid_syn,OK
7,com_0.0623_0.3762_0.5615,MCF7,spheroid_syn,OK
8,com_0.1022_0.401_0.4968,MCF7,spheroid_syn,OK
9,com_0.1181_0.3732_0.5088,MCF7,spheroid_syn,OK
10,com_0.0776_0.4198_0.5026,MCF7,spheroid_syn,OK
11,com_0.0923_0.379_0.5287,MCF7,spheroid_syn,OK
12,com_0.1271_0.4034_0.4695,MCF7,spheroid_syn,OK
13,com_0.1086_0.3604_0.531,MCF7,spheroid_syn,OK
14,com_0.0956_0.3546_0.5498,MCF7,spheroid_syn,OK
15,com_0.0575_0.4194_0.5231,MCF7,spheroid_syn,OK
16,com_0.0604_0.4034_0.5362,MCF7,spheroid_syn,OK
17,com_0.1184_0.3511_0.5305,MCF7,spheroid_syn,OK
18,com_0.079_0.3996_0.5214,MCF7,spheroid_syn,OK
19,com_0.069_0.3973_0.5337,MCF7,spheroid_syn,OK
20,com_0.053_0.403_0.544,MCF7,spheroid_syn,OK
21,com_0.1082_0.4051_0.4867,MCF7,spheroid_syn,OK
22,com_0.0579_0.4034_0.5387,MCF7,spheroid_syn,OK
23,com_0.1235_0.3773_0.4993,MCF7,spheroid_syn,OK
24,com_0.0799_0.3567_0.5634,MCF7,spheroid_syn,OK
25,com_0.0652_0.3865_0.5484,MCF7,spheroid_syn,OK
26,com_0.0522_0.4125_0.5354,MCF7,spheroid_syn,OK
27,com_0.1203_0.3573_0.5224,MCF7,spheroid_syn,OK
28,com_0.0743_0.4116_0.5141,MCF7,spheroid_syn,OK
29,com_0.1146_0.3683_0.5171,MCF7,spheroid_syn,OK
30,com_0.1066_0.3876_0.5057,MCF7,spheroid_syn,OK
31,com_0.113_0.4163_0.4708,MCF7,spheroid_syn,OK
32,com_0.1104_0.4095_0.4801,MCF7,spheroid_syn,OK
33,com_0.1197_0.3492_0.531,MCF7,spheroid_syn,OK
34,com_0.1224_0.4243_0.4533,MCF7,spheroid_syn,OK
35,com_0.1294_0.3577_0.5129,MCF7,spheroid_syn,OK
36,com_0.1085_0.4273_0.4642,MCF7,spheroid_syn,OK
37,com_0.0986_0.3896_0.5118,MCF7,spheroid_syn,OK
38,com_0.1059_0.3785_0.5155,MCF7,spheroid_syn,OK
39,com_0.0978_0.3768_0.5254,MCF7,spheroid_syn,OK
40,com_0.1256_0.3674_0.507,MCF7,spheroid_syn,OK
41,com_0.0798_0.4178_0.5024,MCF7,spheroid_syn,OK
42,com_0.1213_0.3688_0.5099,MCF7,spheroid_syn,OK
43,com_0.0994_0.4277_0.4729,MCF7,spheroid_syn,OK
44,com_0.1218_0.4267_0.4515,MCF7,spheroid_syn,OK
45,com_0.1292_0.424_0.4468,MCF7,spheroid_syn,OK
46,com_0.0893_0.4163_0.4943,MCF7,spheroid_syn,OK
47,com_0.1132_0.4124_0.4744,MCF7,spheroid_syn,OK
48,com_0.1119_0.4015_0.4866,MCF7,spheroid_syn,OK
49,com_0.0941_0.3962_0.5097,MCF7,spheroid_syn,OK
50,com_0.1166_0.3752_0.5082,MCF7,spheroid_syn,OK
51,com_0.0622_0.3633_0.5745,MCF7,spheroid_syn,OK
52,com_0.0971_0.3993_0.5037,MCF7,spheroid_syn,OK
53,com_0.1015_0.4162_0.4823,MCF7,spheroid_syn,OK
54,com_0.1044_0.4019_0.4936,MCF7,spheroid_syn,OK
55,com_0.1019_0.4137_0.4844,MCF7,spheroid_syn,OK
56,com_0.0846_0.4125_0.5029,MCF7,spheroid_syn,OK
57,com_0.0576_0.3659_0.5765,MCF7,spheroid_syn,OK
58,com_0.0894_0.3928_0.5178,MCF7,spheroid_syn,OK
59,com_0.0521_0.3721_0.5758,MCF7,spheroid_syn,OK
60,com_0.0661_0.4274_0.5065,MCF7,spheroid_syn,OK
61,com_0.0929_0.3934_0.5137,MCF7,spheroid_syn,OK
62,com_0.0922_0.3936_0.5142,MCF7,spheroid_syn,OK
63,com_0.5982_0.2657_0.1361,MCF7,spheroid_syn,OK
64,com_0.5432_0.3125_0.1443,MCF7,spheroid_syn,OK
65,com_0.5898_0.2342_0.176,MCF7,spheroid_syn,OK
66,com_0.5544_0.2461_0.1994,MCF7,spheroid_syn,OK
67,com_0.5442_0.2956_0.1602,MCF7,spheroid_syn,OK
68,com_0.5891_0.303_0.1079,MCF7,spheroid_syn,OK
69,com_0.5924_0.2647_0.1429,MCF7,spheroid_syn,OK
70,com_0.5971_0.291_0.1119,MCF7,spheroid_syn,OK
71,com_0.5465_0.2845_0.169,MCF7,spheroid_syn,OK
72,com_0.5955_0.2621_0.1424,MCF7,spheroid_syn,OK
73,com_0.5599_0.235_0.2051,MCF7,spheroid_syn,OK
74,com_0.5736_0.2962_0.1302,MCF7,spheroid_syn,OK
75,com_0.5839_0.2371_0.179,MCF7,spheroid_syn,OK
76,com_0.5436_0.2487_0.2078,MCF7,spheroid_syn,OK
77,com_0.595_0.2445_0.1605,MCF7,spheroid_syn,OK
78,com_0.5575_0.3094_0.133,MCF7,spheroid_syn,OK
79,com_0.558_0.2528_0.1892,MCF7,spheroid_syn,OK
80,com_0.5422_0.2448_0.213,MCF7,spheroid_syn,OK
81,com_0.6081_0.2704_0.1216,MCF7,spheroid_syn,OK
82,com_0.5544_0.2559_0.1897,MCF7,spheroid_syn,OK
83,com_0.5893_0.3071_0.1036,MCF7,spheroid_syn,OK
84,com_0.55_0.2677_0.1822,MCF7,spheroid_syn,OK
85,com_0.5545_0.2867_0.1588,MCF7,spheroid_syn,OK
86,com_0.5499_0.2907_0.1594,MCF7,spheroid_syn,OK
87,com_0.5984_0.28_0.1216,MCF7,spheroid_syn,OK
88,com_0.5541_0.2415_0.2043,MCF7,spheroid_syn,OK
89,com_0.5485_0.3009_0.1506,MCF7,spheroid_syn,OK
90,com_0.5484_0.2718_0.1798,MCF7,spheroid_syn,OK
91,com_0.557_0.2731_0.1699,MCF7,spheroid_syn,OK
92,com_0.596_0.3096_0.0944,MCF7,spheroid_syn,OK
93,com_0.5632_0.3067_0.1301,MCF7,spheroid_syn,OK
94,com_0.5541_0.2465_0.1993,MCF7,spheroid_syn,OK
95,com_0.5487_0.2559_0.1955,MCF7,spheroid_syn,OK
96,com_0.5572_0.3037_0.1391,MCF7,spheroid_syn,OK
