sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_asp_L_LPAREN_e_RPAREN_,-0.005177849553059,A_D6,D6,A,1,0.08955224,A,-0.0004636880258594323,Ok,MCF7,spheroid
D6,A,EX_asp_L_b,-0.005177849553059,A_D6,D6,A,1,0.08955224,A,-0.0004636880258594323,Ok,MCF7,spheroid
D6,A,EX_creat_LPAREN_e_RPAREN_,-0.0114394449384126,A_D6,D6,A,1,0.08955224,A,-0.0010244279185915104,Ok,MCF7,spheroid
D6,A,EX_creat_b,-0.0114394449384126,A_D6,D6,A,1,0.08955224,A,-0.0010244279185915104,Ok,MCF7,spheroid
D6,A,EX_cys_L_LPAREN_e_RPAREN_,-0.0002970366643658,A_D6,D6,A,1,0.08955224,A,-2.660029865608557e-05,Ok,MCF7,spheroid
D6,A,EX_cys_L_b,-0.0002970366643658,A_D6,D6,A,1,0.08955224,A,-2.660029865608557e-05,Ok,MCF7,spheroid
D6,A,EX_gln_L_LPAREN_e_RPAREN_,-0.0053016174874392,A_D6,D6,A,1,0.08955224,A,-0.00047477172162335224,Ok,MCF7,spheroid
D6,A,EX_gln_L_b,-0.0053016174874392,A_D6,D6,A,1,0.08955224,A,-0.00047477172162335224,Ok,MCF7,spheroid
D6,A,EX_gly_LPAREN_e_RPAREN_,-0.0242002776551692,A_D6,D6,A,1,0.08955224,A,-0.0021671890726423495,Ok,MCF7,spheroid
D6,A,EX_gly_b,-0.0242002776551692,A_D6,D6,A,1,0.08955224,A,-0.0021671890726423495,Ok,MCF7,spheroid
D6,A,EX_glyc_LPAREN_e_RPAREN_,-0.0649190631629974,A_D6,D6,A,1,0.08955224,A,-0.005813647524947903,Ok,MCF7,spheroid
D6,A,EX_glyc_b,-0.0649190631629974,A_D6,D6,A,1,0.08955224,A,-0.005813647524947903,Ok,MCF7,spheroid
D6,A,EX_his_L_LPAREN_e_RPAREN_,-0.0254494695535475,A_D6,D6,A,1,0.08955224,A,-0.0022790570053319785,Ok,MCF7,spheroid
D6,A,EX_his_L_b,-0.0254494695535475,A_D6,D6,A,1,0.08955224,A,-0.0022790570053319785,Ok,MCF7,spheroid
D6,A,EX_ile_L_LPAREN_e_RPAREN_,-0.0018246601735368,A_D6,D6,A,1,0.08955224,A,-0.00016340240577900918,Ok,MCF7,spheroid
D6,A,EX_ile_L_b,-0.0018246601735368,A_D6,D6,A,1,0.08955224,A,-0.00016340240577900918,Ok,MCF7,spheroid
D6,A,EX_inost_LPAREN_e_RPAREN_,-0.000148706487507,A_D6,D6,A,1,0.08955224,A,-1.3316999058783865e-05,Ok,MCF7,spheroid
D6,A,EX_inost_b,-0.000148706487507,A_D6,D6,A,1,0.08955224,A,-1.3316999058783865e-05,Ok,MCF7,spheroid
D6,A,EX_leu_L_LPAREN_e_RPAREN_,-0.0034795340851205,A_D6,D6,A,1,0.08955224,A,-0.0003116000714788915,Ok,MCF7,spheroid
D6,A,EX_leu_L_b,-0.0034795340851205,A_D6,D6,A,1,0.08955224,A,-0.0003116000714788915,Ok,MCF7,spheroid
D6,A,EX_lys_L_LPAREN_e_RPAREN_,-0.0037765643713398,A_D6,D6,A,1,0.08955224,A,-0.00033819979895767093,Ok,MCF7,spheroid
D6,A,EX_lys_L_b,-0.0037765643713398,A_D6,D6,A,1,0.08955224,A,-0.00033819979895767093,Ok,MCF7,spheroid
D6,A,EX_met_L_LPAREN_e_RPAREN_,-0.0009759839896343,A_D6,D6,A,1,0.08955224,A,-8.740155247588835e-05,Ok,MCF7,spheroid
D6,A,EX_met_L_b,-0.0009759839896343,A_D6,D6,A,1,0.08955224,A,-8.740155247588835e-05,Ok,MCF7,spheroid
D6,A,EX_o2_LPAREN_e_RPAREN_,-0.0046600340535178,A_D6,D6,A,1,0.08955224,A,-0.00041731648796879887,Ok,MCF7,spheroid
D6,A,EX_o2_b,-0.0046600340535178,A_D6,D6,A,1,0.08955224,A,-0.00041731648796879887,Ok,MCF7,spheroid
D6,A,EX_orot_LPAREN_e_RPAREN_,-0.0006500862119951,A_D6,D6,A,1,0.08955224,A,-5.821667647727608e-05,Ok,MCF7,spheroid
D6,A,EX_orot_b,-0.0006500862119951,A_D6,D6,A,1,0.08955224,A,-5.821667647727608e-05,Ok,MCF7,spheroid
D6,A,EX_phe_L_LPAREN_e_RPAREN_,-0.0016549376930495,A_D6,D6,A,1,0.08955224,A,-0.00014820337747301516,Ok,MCF7,spheroid
D6,A,EX_phe_L_b,-0.0016549376930495,A_D6,D6,A,1,0.08955224,A,-0.00014820337747301516,Ok,MCF7,spheroid
D6,A,EX_pi_LPAREN_e_RPAREN_,-0.0079192534907974,A_D6,D6,A,1,0.08955224,A,-0.0007091868892287267,Ok,MCF7,spheroid
D6,A,EX_pi_b,-0.0079192534907974,A_D6,D6,A,1,0.08955224,A,-0.0007091868892287267,Ok,MCF7,spheroid
D6,A,EX_ser_L_LPAREN_e_RPAREN_,-0.041538741872121,A_D6,D6,A,1,0.08955224,A,-0.0037198873814302293,Ok,MCF7,spheroid
D6,A,EX_ser_L_b,-0.041538741872121,A_D6,D6,A,1,0.08955224,A,-0.0037198873814302293,Ok,MCF7,spheroid
D6,A,EX_tag_hs_LPAREN_e_RPAREN_,-0.0012020425128118,A_D6,D6,A,1,0.08955224,A,-0.00010764559959752539,Ok,MCF7,spheroid
D6,A,EX_tag_hs_b,-0.0012020425128118,A_D6,D6,A,1,0.08955224,A,-0.00010764559959752539,Ok,MCF7,spheroid
D6,A,EX_thr_L_LPAREN_e_RPAREN_,-0.0019943826540241,A_D6,D6,A,1,0.08955224,A,-0.00017860143408500318,Ok,MCF7,spheroid
D6,A,EX_thr_L_b,-0.0019943826540241,A_D6,D6,A,1,0.08955224,A,-0.00017860143408500318,Ok,MCF7,spheroid
D6,A,EX_thymd_LPAREN_e_RPAREN_,-8.349631687559739e-05,A_D6,D6,A,1,0.08955224,A,-7.4772822079595485e-06,Ok,MCF7,spheroid
D6,A,EX_thymd_b,-8.349631687559739e-05,A_D6,D6,A,1,0.08955224,A,-7.4772822079595485e-06,Ok,MCF7,spheroid
D6,A,EX_trp_L_LPAREN_e_RPAREN_,-8.486761839024504e-05,A_D6,D6,A,1,0.08955224,A,-7.600085330311638e-06,Ok,MCF7,spheroid
D6,A,EX_trp_L_b,-8.486761839024504e-05,A_D6,D6,A,1,0.08955224,A,-7.600085330311638e-06,Ok,MCF7,spheroid
D6,A,EX_tyr_L_LPAREN_e_RPAREN_,-0.0010183986643897,A_D6,D6,A,1,0.08955224,A,-9.119988160910587e-05,Ok,MCF7,spheroid
D6,A,EX_tyr_L_b,-0.0010183986643897,A_D6,D6,A,1,0.08955224,A,-9.119988160910587e-05,Ok,MCF7,spheroid
D6,A,EX_val_L_LPAREN_e_RPAREN_,-0.0023543317174234,A_D6,D6,A,1,0.08955224,A,-0.00021083567899831253,Ok,MCF7,spheroid
D6,A,EX_val_L_b,-0.0023543317174234,A_D6,D6,A,1,0.08955224,A,-0.00021083567899831253,Ok,MCF7,spheroid
D6,A,EX_xylt_LPAREN_e_RPAREN_,-0.0040029694404814,A_D6,D6,A,1,0.08955224,A,-0.00035847488004665606,Ok,MCF7,spheroid
D6,A,EX_xylt_b,-0.0040029694404814,A_D6,D6,A,1,0.08955224,A,-0.00035847488004665606,Ok,MCF7,spheroid
D6,B,EX_ala_L_LPAREN_e_RPAREN_,-0.0083245290987187,B_D6,D6,B,1,0.3880597,B,-0.0032304142646900494,Ok,MCF7,spheroid
