,A,B,C,sample
A,-0.0374285586095738,0.03500730976573625,0.0648281128623466,com_0.5926_0.1428_0.2645
B,0.001813018238297763,-0.009020892504941772,0.000809195059620748,com_0.5926_0.1428_0.2645
C,1.849467951568068e-05,4.457519502424831e-06,-0.01670529501740493,com_0.5926_0.1428_0.2645
A,-0.02885681639972697,0.006023081275393591,0.024520530061423393,com_0.4204_0.1143_0.4653
B,0.0009585876380087122,-0.00784521553803619,0.0010609609950876925,com_0.4204_0.1143_0.4653
C,0.023154909017202834,0.006295055193427665,-0.03193860992557329,com_0.4204_0.1143_0.4653
A,-0.014556893055164848,0.0014611315131630512,0.005120037747927721,com_0.2301_0.1709_0.5989
B,0.0010329924373554834,-0.010811600075880778,0.0026884519577572916,com_0.2301_0.1709_0.5989
C,0.051204402005607,0.03803019741308009,-0.03788557034520586,com_0.2301_0.1709_0.5989
A,-0.0278656188189562,0.0208301665181879,0.006909611430411515,com_0.3846_0.4621_0.1533
B,0.03470598530427277,-0.03347665099176543,0.01383052207924372,com_0.3846_0.4621_0.1533
C,-0.002878456946393406,-0.003458064190653188,-0.011104599208772343,com_0.3846_0.4621_0.1533
A,-0.03552457834873845,0.022573790142528978,0.09232024748215754,com_0.6891_0.0611_0.2498
B,0.00024679165574093,-0.003149571070989214,8.948400828343028e-05,com_0.6891_0.0611_0.2498
C,-0.0017120062144926895,-0.00015178451103696478,-0.012880831193671302,com_0.6891_0.0611_0.2498
A,-0.016533458204919638,0.0001023055604783957,0.008036862829443027,com_0.3257_0.0085_0.6658
B,2.161694586551993e-06,-0.0004301883556691007,4.418516842984166e-06,com_0.3257_0.0085_0.6658
C,0.0555084060795748,0.0014442858085232453,-0.033794490005488516,com_0.3257_0.0085_0.6658
A,-0.03627648396257483,0.030375374125777743,0.08645658327444454,com_0.6649_0.0871_0.248
B,0.0005468286412399076,-0.004753572218894757,0.00020394947887294318,com_0.6649_0.0871_0.248
C,-0.001555475401516633,-0.00020382516322802434,-0.013529960500358715,com_0.6649_0.0871_0.248
A,-0.009087301432960312,0.001512203500144492,0.0010986498006999024,com_0.1316_0.503_0.3654
B,0.015240083380277086,-0.03473563454230437,0.04232302375044079,com_0.1316_0.503_0.3654
C,0.002343899905428562,0.008959409030584516,-0.025236218513618826,com_0.1316_0.503_0.3654
A,-0.031683184890251244,0.017754554652791743,0.02148367873096888,com_0.3852_0.2782_0.3366
B,0.009369334474591609,-0.022880912651143344,0.008187515226178044,com_0.3852_0.2782_0.3366
C,0.008381771156960947,0.006053134316126425,-0.027686764668854672,com_0.3852_0.2782_0.3366
A,-0.01244764344036861,0.0006889896828632808,0.00404250042724523,com_0.2242_0.113_0.6628
B,0.000324458591855252,-0.006271597074935937,0.0009591524645329585,com_0.2242_0.113_0.6628
C,0.07107905073478821,0.035812334167210774,-0.036797262478977376,com_0.2242_0.113_0.6628
A,-0.02960781361714514,0.026024607271248612,0.006834760995211561,com_0.4273_0.4536_0.1191
B,0.030952820637054252,-0.031427087296434605,0.00862853713913923,com_0.4273_0.4536_0.1191
C,-0.003767831501123156,-0.00399934865285656,-0.008253597393138454,com_0.4273_0.4536_0.1191
A,-0.0006045821168055762,-5.1731720087247815e-06,-2.825291831322352e-05,com_0.0155_0.1524_0.8321
B,2.026289585310508e-05,-0.005935808516887458,0.0010864861493813105,com_0.0155_0.1524_0.8321
C,0.01474223730691987,0.1447398739741113,-0.03241787499215809,com_0.0155_0.1524_0.8321
A,-0.02896168987616518,0.03235121143522972,-0.00133499673534518,com_0.5852_0.4119_0.0029
B,0.014216170625119429,-0.020385958586484253,-0.0014843385323249799,com_0.5852_0.4119_0.0029
C,-0.0021283933967512388,-0.001498607187314864,-0.001708497506950675,com_0.5852_0.4119_0.0029
A,-0.007207688406367213,0.0008297240114089853,0.000806883458662741,com_0.1062_0.4532_0.4407
B,0.007203396514874628,-0.030763398039610965,0.02989873246091984,com_0.1062_0.4532_0.4407
C,0.004301540103110608,0.0183595603442032,-0.029916546548811956,com_0.1062_0.4532_0.4407
A,-0.00045993015617702714,-3.1609779405410154e-05,-2.8611054192041047e-05,com_0.0081_0.5206_0.4712
B,0.0005612220065960808,-0.02944115637456802,0.03251719831034068,com_0.0081_0.5206_0.4712
C,0.0002194412655917005,0.014047088218480025,-0.026648161951812705,com_0.0081_0.5206_0.4712
A,-0.009949533366052471,0.0013128744111604342,0.00181874668917896,com_0.1419_0.3597_0.4983
B,0.004795400117490564,-0.025214503185114107,0.016835328094802537,com_0.1419_0.3597_0.4983
C,0.012338564842176162,0.03126888178616502,-0.034930069321872884,com_0.1419_0.3597_0.4983
