,A,B,C,sample
A,-0.006993487616104145,0.0006353542718971587,0.0009020488716288827,com_0.106_0.3694_0.5245
B,0.003333269809652234,-0.024366598815934983,0.016488672234439068,com_0.106_0.3694_0.5245
C,0.009860744956466825,0.03435665145036781,-0.034594656780984424,com_0.106_0.3694_0.5245
A,-0.0035224919614871633,0.00015181164678734413,0.0002004040528117007,com_0.0576_0.4062_0.5362
B,0.00199833820511015,-0.02485185158412225,0.018611404165923613,com_0.0576_0.4062_0.5362
C,0.004509929069029247,0.031818408402918594,-0.032806519672951895,com_0.0576_0.4062_0.5362
A,-0.0060790733880107485,0.0004940393078983855,0.0006595055206265119,com_0.0933_0.3883_0.5184
B,0.0033042065707700125,-0.025291532813323282,0.018351090905695595,com_0.0933_0.3883_0.5184
C,0.0076623592995715235,0.031878676159415975,-0.03376230443264293,com_0.0933_0.3883_0.5184
A,-0.007867224560047745,0.0009037661399082415,0.001050696980299387,com_0.1149_0.4093_0.4758
B,0.005500318957256953,-0.02803683080183155,0.022788548652570552,com_0.1149_0.4093_0.4758
C,0.007056211717736861,0.025146582854608947,-0.03259495145447834,com_0.1149_0.4093_0.4758
A,-0.003260416650840459,0.00013098482448078985,0.00016174793782436359,com_0.0533_0.4236_0.5231
B,0.0021161773333376564,-0.025913105911813197,0.020769029111661126,com_0.0533_0.4236_0.5231
C,0.0036056249914688523,0.028656750081442816,-0.0319990614259733,com_0.0533_0.4236_0.5231
A,-0.006815261984135341,0.0006095473079069172,0.0008491330938870251,com_0.1035_0.3746_0.5219
B,0.003379100574203862,-0.02467559049517826,0.017043330546425366,com_0.1035_0.3746_0.5219
C,0.009269493800506418,0.03356147329700973,-0.034374461553076795,com_0.1035_0.3746_0.5219
A,-0.005016123300990171,0.0003351499882899914,0.00043605158465100796,com_0.0787_0.4004_0.5209
B,0.0028970595730936303,-0.025503081193628638,0.019163751638991866,com_0.0787_0.4004_0.5209
C,0.006090381364780167,0.030964847032943117,-0.03318114085192936,com_0.0787_0.4004_0.5209
A,-0.0037700271271596413,0.00016560717090044474,0.00024720401441344353,com_0.0623_0.3762_0.5615
B,0.0016714070545393446,-0.02277218882273617,0.015070195861310733,com_0.0623_0.3762_0.5615
C,0.006288450089763259,0.037984281803867814,-0.033992347449523036,com_0.0623_0.3762_0.5615
A,-0.006815755528730059,0.0006519179933361721,0.000807689377266177,com_0.1022_0.401_0.4968
