reactions,EX_arg_L_m,EX_chol_m,EX_cl_m,EX_cys_L_m,EX_fol_m,EX_gal_m,EX_glu_L_m,EX_gly_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_na1_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_pnto_R_m,EX_pydxn_m,EX_ribflv_m,EX_ser_L_m,EX_so4_m,EX_thm_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m
EX_arg_L_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_chol_m,0,0.021746441,0.021746441,0.021526694,0.021698997,0.016733159,0.020754111,0.021445791,0,0,0,0,0,0,0.021746441,0.005980282,0,0,0.021746441,0.021746441,0.021746441,0.019200669,0.021746441,0.021746441,0,0,0,0
EX_cl_m,0,0.021746441,0.025876671,0.025608978,0.02580553,0.020499745,0.02471159,0.025592543,0,0,0,0,0,0,0.025876671,0.007016752,0,0,0.025876671,0.025876671,0.025876671,0.022907147,0.025876671,0.025876671,0,0,0,0
EX_cys_L_m,0,0.021526694,0.025608978,0.025608978,0.025542719,0.020027794,0.024409057,0.025312554,0,0,0,0,0,0,0.025608978,0.006843272,0,0,0.025608978,0.025608978,0.025608978,0.022457835,0.025608978,0.025608978,0,0,0,0
EX_fol_m,0,0.021698997,0.02580553,0.025542719,0.02580553,0.020499745,0.024680395,0.025485113,0,0,0,0,0,0,0.02580553,0.007016752,0,0,0.02580553,0.02580553,0.02580553,0.022907147,0.02580553,0.02580553,0,0,0,0
EX_gal_m,0,0.016733159,0.020499745,0.020027794,0.020499745,0.020499745,0.019241739,0.019512372,0,0,0,0,0,0,0.020499745,0.002978916,0,0,0.020499745,0.020499745,0.020499745,0.016420434,0.020499745,0.020499745,0,0,0,0
EX_glu_L_m,0,0.020754111,0.02471159,0.024409057,0.024680395,0.019241739,0.02471159,0.024287452,0,0,0,0,0,0,0.02471159,0.006112923,0,0,0.02471159,0.02471159,0.02471159,0.02182797,0.02471159,0.02471159,0,0,0,0
EX_gly_m,0,0.021445791,0.025592543,0.025312554,0.025485113,0.019512372,0.024287452,0.025592543,0,0,0,0,0,0,0.025592543,0.006900146,0,0,0.025592543,0.025592543,0.025592543,0.021733996,0.025592543,0.025592543,0,0,0,0
EX_his_L_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ile_L_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_inost_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_leu_L_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lys_L_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
