abbreviation,fullName,chargedFormula
10fthf5glu_c,10-formyltetrahydrofolate-[Glu](5),C40H45N11O19
10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5),C40H45N11O19
10fthf5glu_l,10-formyltetrahydrofolate-[Glu](5),C40H45N11O19
10fthf5glu_m,10-formyltetrahydrofolate-[Glu](5),C40H45N11O19
10fthf6glu_c,10-formyltetrahydrofolate-[Glu](6),C45H51N12O22
10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6),C45H51N12O22
10fthf6glu_l,10-formyltetrahydrofolate-[Glu](6),C45H51N12O22
10fthf6glu_m,10-formyltetrahydrofolate-[Glu](6),C45H51N12O22
10fthf7glu_c,10-formyltetrahydrofolate-[Glu](7),C50H57N13O25
10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7),C50H57N13O25
10fthf7glu_l,10-formyltetrahydrofolate-[Glu](7),C50H57N13O25
10fthf7glu_m,10-formyltetrahydrofolate-[Glu](7),C50H57N13O25
10fthf_c,10-formyltetrahydrofolate(2-),C20H21N7O7
10fthf_e,10-formyltetrahydrofolate(2-),C20H21N7O7
10fthf_l,10-formyltetrahydrofolate(2-),C20H21N7O7
10fthf_m,10-formyltetrahydrofolate(2-),C20H21N7O7
11_cis_retfa_c,fatty acid 11-cis-retinol,C36H60O2
11_cis_retfa_e,fatty acid 11-cis-retinol,C36H60O2
11docrtsl_c,11-deoxycortisol,C21H30O4
11docrtsl_m,11-deoxycortisol,C21H30O4
11docrtsl_r,11-deoxycortisol,C21H30O4
11docrtstrn_c,11-deoxycorticosterone,C21H30O3
11docrtstrn_m,11-deoxycorticosterone,C21H30O3
11docrtstrn_r,11-deoxycorticosterone,C21H30O3
12HPET_c,12(S)-HPETE(1-),C20H31O4
12RHPET_c,12(R)-HPETE,C20H31O4
12harachd_r,12 hydroxy arachidonic acid,C20H31O3
12ppd_R_c,"(R)-propane-1,2-diol",C3H8O2
12ppd_S_c,"(S)-propane-1,2-diol",C3H8O2
13_cis_oretn_c,13-cis-oxo-retinoic acid,C20H25O3
13_cis_oretn_n,13-cis-oxo-retinoic acid,C20H25O3
13_cis_retn_c,isotretinoin,C20H27O2
13_cis_retn_n,isotretinoin,C20H27O2
13_cis_retn_r,isotretinoin,C20H27O2
13_cis_retnglc_c,1-O-all-trans-retinoyl-beta-glucuronic acid,C26H36O8
13_cis_retnglc_e,1-O-all-trans-retinoyl-beta-glucuronic acid,C26H36O8
13_cis_retnglc_r,1-O-all-trans-retinoyl-beta-glucuronic acid,C26H36O8
13dampp_c,trimethylenediaminium,C3H12N2
13dpg_c,3-phosphonato-D-glyceroyl phosphate(4-),C3H4O10P2
15HPET_c,15(S)-HPETE(1-),C20H31O4
15HPET_n,15(S)-HPETE(1-),C20H31O4
15HPET_r,15(S)-HPETE(1-),C20H31O4
17ahprgnlone_c,17alpha-hydroxypregnenolone,C21H32O3
17ahprgnlone_g,17alpha-hydroxypregnenolone,C21H32O3
17ahprgnlone_l,17alpha-hydroxypregnenolone,C21H32O3
17ahprgnlone_m,17alpha-hydroxypregnenolone,C21H32O3
17ahprgnlone_r,17alpha-hydroxypregnenolone,C21H32O3
17ahprgstrn_c,17alpha-hydroxyprogesterone,C21H30O3
17ahprgstrn_m,17alpha-hydroxyprogesterone,C21H30O3
17ahprgstrn_r,17alpha-hydroxyprogesterone,C21H30O3
18harachd_r,18 hydroxy arachidonic acid,C20H31O3
1a2425thvitd2_m,"1-alpha,24R,25-Trihydroxyvitamin D2",C28H44O4
1a2425thvitd3_m,calcitetrol,C27H44O4
1a25dhvitd2_m,"1-alpha,25-Dihydroxyvitamin D2",C28H44O3
1a25dhvitd3_c,calcitriol,C27H44O3
1a25dhvitd3_m,calcitriol,C27H44O3
1a25dhvitd3_n,calcitriol,C27H44O3
1glyc_hs_e,1-acyl-sn-glycerol 3-phosphate,C6H13O7P
1mncam_c,1-methylnicotinamide,C7H9N2O
1mncam_e,1-methylnicotinamide,C7H9N2O
1mpyr_c,1-methylpyrrolinium,C5H10N
1p2cbxl_x,1-pyrroline-2-carboxylate,C5H6NO2
1p3h5c_c,"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid",C5H6NO3
1p3h5c_m,"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid",C5H6NO3
1pipdn2c_x,1-piperideine-2-carboxylate,C6H9NO2
1pyr5c_c,1-pyrroline-5-carboxylate,C5H6NO2
1pyr5c_m,1-pyrroline-5-carboxylate,C5H6NO2
20ahchsterol_m,20-hydroxycholesterol,C27H46O2
23cump_c,"2',3'-cyclic UMP(1-)",C9H10N2O8P
23cump_e,"2',3'-cyclic UMP(1-)",C9H10N2O8P
23doguln_c,"2,3-diketogulonate",C6H7O7
23dpg_c,"2,3-bisphosphonato-D-glycerate(5-)",C3H3O10P2
2425dhvitd2_c,"24R,25-Dihyoxyvitamin D2",C28H44O3
2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2",C28H44O3
2425dhvitd2_m,"24R,25-Dihyoxyvitamin D2",C28H44O3
2425dhvitd3_c,"(24R)-24,25-dihydroxycalciol",C27H44O3
2425dhvitd3_e,"(24R)-24,25-dihydroxycalciol",C27H44O3
2425dhvitd3_m,"(24R)-24,25-dihydroxycalciol",C27H44O3
24nph_c,2-hydroxy-4-nitrophenolate,C6H5NO4
24nph_e,2-hydroxy-4-nitrophenolate,C6H5NO4
25aics_c,SAICAR(4-),C13H15N4O12P
25hvitd2_c,25-Hydroxyvitamin D2,C28H44O2
25hvitd2_e,25-Hydroxyvitamin D2,C28H44O2
25hvitd2_m,25-Hydroxyvitamin D2,C28H44O2
25hvitd3_c,calcidiol,C27H44O2
25hvitd3_e,calcidiol,C27H44O2
25hvitd3_m,calcidiol,C27H44O2
2amac_c,2-aminoacrylic acid,C3H5NO2
2ameph_c,(2-aminoethyl)phosphonic acid,C2H7NO3P
2aobut_m,L-2-amino-3-oxobutanoic acid,C4H7NO3
2c23dh56dhoxin_c,leucodopachrome,C9H8NO4
2coum_c,cis-2-coumarate,C9H7O3
2ddecdicoa_m,"2,6-dodecadienoylcoa",C33H54N7O17P3S
2ddecdicoa_x,"2,6-dodecadienoylcoa",C33H54N7O17P3S
2decdicoa_m,"2,7-decadienoylcoa",C31H46N7O17P3S
2decdicoa_x,"2,7-decadienoylcoa",C31H46N7O17P3S
2docohexecoa_m,"2,7,10,13,16,19-docosahexenoylcoa",C43H62N7O17P3S
2docopencoa_m,"2,7,10,13,16-docosapentenoylcoa",C43H64N7O17P3S
2docopencoa_x,"2,7,10,13,16-docosapentenoylcoa",C43H64N7O17P3S
2dodtricoa_m,"2,6,9-dodecatrienoylcoa",C33H48N7O17P3S
2dodtricoa_x,"2,6,9-dodecatrienoylcoa",C33H48N7O17P3S
2dp6mep_m,2-decaprenyl-6-methoxyphenol,C57H88O2
2dp6mobq_m,"2-decaprenyl-6-methoxy-1,4-benzoquinone",C57H86O3
2dp6mobq_me_m,"2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone",C58H88O3
2dpmhobq_m,"2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone",C58H88O4
2dr1p_c,2-deoxy-D-ribofuranose 1-phosphate(2-),C5H9O7P
2dr5p_c,2-deoxy-D-ribose 5-phosphate(2-),C5H9O7P
2hb_c,2-hydroxybutyric acid,C4H7O3
2hb_e,2-hydroxybutyric acid,C4H7O3
2hexdtetcoa_m,"2,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
2hexdtetcoa_x,"2,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
2hexdtricoa_m,"2,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
2hexdtricoa_x,"2,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
2hyoxplac_c,(2-hydroxyphenyl)acetic acid,C8H7O3
2kmb_c,4-methylthio-2-oxobutanoate,C5H7O3S
2maacoa_m,2-methylacetoacetyl-CoA(4-),C26H38N7O18P3S
2mb2coa_c,2-methylcrotonoyl-CoA(4-),C26H38N7O17P3S
2mb2coa_m,2-methylcrotonoyl-CoA(4-),C26H38N7O17P3S
2mbcoa_m,2-methylbutanoyl-CoA(4-),C26H40N7O17P3S
2mcacn_c,"(Z)-but-2-ene-1,2,3-tricarboxylate",C7H5O6
2mcit_c,2-methylcitrate(3-),C7H7O7
2mcit_e,2-methylcitrate(3-),C7H7O7
2mop_c,2-methyl-3-oxopropanoate,C4H5O3
