,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m,EX_acac_m,EX_for_m,EX_ser_L_m,EX_urea_m
com_0.5926_0.1428_0.2645,0.009518527512934213,0.004555677592106984,-0.021556014335710638,0.0012338900651448492,0.111,-0.20456584256811838,-0.21778656577229372,0.04859629504539044,0.007579636895008552,0.0006177266296373844,0.014453981794269358,0.015687845364596144,0.004054236708871575,-0.010671498008765498,0.12362789559572633,0.00687460984741302,0.032896572638675535,0.008284663942604083,0.0003525400186152012,0.004230427233732508,0.00934233698807704,,,,,
com_0.4204_0.1143_0.4653,0.009518527513055172,0.004555677592158964,-0.22612185690424236,0.0012338900651478468,0.111,,-0.013220723206083806,0.04859629504634894,0.007579636895105189,0.0006177266296485645,0.014453981794443288,0.01568784536479197,0.004054236708919673,-0.010671498012265052,0.12362789559542696,0.006874609847497276,0.03289657263896602,0.008284663942706489,0.00035254001861524545,0.0042304272337868164,0.00934233698819464,-0.20456584256140792,,,,
com_0.2301_0.1709_0.5989,0.009518527512932915,0.0045556775921031046,-0.2261218569051143,0.0012338900651536755,0.111,,-0.013220723202529872,0.0485962950450064,0.007579636895012091,0.0006177266296332355,0.014453981794262778,0.015687845364605883,0.004054236708871715,-0.010671498008644406,0.12362789559527775,0.006874609847408837,0.032896572638700945,0.008284663942606834,0.00035254001861488875,0.004230427233735119,0.009342336988078024,-0.20456584256869736,,,,
com_0.3846_0.4621_0.1533,0.00951852751293726,0.004555677592104073,-0.22612185690489595,0.0012338900651477358,0.111,,-0.013220723203000162,0.0485962950450678,0.007579636895009983,0.0006177266296401467,0.014453981794266301,0.015687845364596362,0.004054236708872303,-0.0106714980087646,0.1236278955953472,0.006874609847413656,0.032896572638731296,0.008284663942604131,0.00035254001861050066,0.004230427233734006,0.009342336988077734,-0.20456584256852606,,,,
com_0.6891_0.0611_0.2498,0.009518527512934569,0.004555677592104318,-0.22612185690513753,0.0012338900651540086,0.111,,-0.013220723202810758,0.0485962950451975,0.007579636895014363,0.0006177266296367246,0.014453981794264917,0.015687845364596616,0.004054236708871678,-0.010671498008976698,0.12362789559536502,0.006874609847411655,0.03289657263874513,0.00828466394260642,0.0003525400186149787,0.004230427233731192,0.009342336988078605,-0.20456584256833454,,,,
com_0.3257_0.0085_0.6658,0.00951852751294002,0.004555677592100772,-0.02155601433700649,0.0012338900651429618,0.111,-0.20456584256797875,-0.21778656577106648,0.04859629504518144,0.007579636895011889,0.0006177266296346983,0.01445398179426035,0.01568784536459488,0.004054236708872852,-0.010671498009092681,0.1236278955953739,0.006874609847414732,0.03289657263875443,0.008284663942609048,0.00035254001861295757,0.004230427233736195,0.009342336988076677,,,,,
com_0.6649_0.0871_0.248,0.009518527512934373,0.004555677592103328,-0.2261218569047454,0.0012338900651447382,0.111,,-0.013220723202989726,0.04859629504500601,0.007579636895004302,0.0006177266296415628,0.014453981794270838,0.015687845364588945,0.004054236708872612,-0.010671498008664248,0.12362789559526297,0.00687460984741149,0.032896572638661456,0.00828466394260064,0.00035254001861211183,0.004230427233731551,0.009342336988075434,-0.20456584256861987,,,,
com_0.1316_0.503_0.3654,0.009518527512942453,0.004555677592103096,-0.22612185690505093,0.0012338900651496232,0.111,,-0.013220723202854945,0.04859629504516976,0.007579636895010709,0.0006177266296372433,0.014453981794267675,0.015687845364596383,0.004054236708870787,-0.010671498008899927,0.12362789559542485,0.006874609847412865,0.03289657263875799,0.008284663942603358,0.00035254001860983767,0.0042304272337377645,0.009342336988075475,-0.20456584256865998,,,,
com_0.3852_0.2782_0.3366,0.009518527512940154,0.004555677592104576,-0.02155601433664503,0.0012338900651469586,0.111,-0.20456584256873533,-0.21778656577114308,0.048596295045040885,0.007579636895013135,0.0006177266296433533,0.014453981794279392,0.015687845364606046,0.004054236708875758,-0.010671498008536683,0.12362789559532263,0.006874609847416423,0.03289657263875858,0.008284663942609845,0.00035254001861565116,0.004230427233734089,0.00934233698807704,,,,,
com_0.2242_0.113_0.6628,0.009518527512933002,0.004555677592109561,-0.22612185690517983,0.0012338900651612805,0.111,,-0.013220723202904683,0.048596295045241336,0.007579636895012482,0.0006177266296396503,0.014453981794266399,0.015687845364597393,0.0040542367088769755,-0.0106714980091475,0.12362789559538134,0.006874609847413537,0.03289657263877937,0.008284663942602008,0.00035254001860884107,0.004230427233734452,0.009342336988075526,-0.2045658425681531,,,,
