sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_ala_L_LPAREN_e_RPAREN_,0.0656940821626845,A_D6,D6,A,1,0.08955224,A,0.005883052212412442,Ok,MCF7,spheroid
D6,A,EX_ala_L_b,0.0656940821626845,A_D6,D6,A,1,0.08955224,A,0.005883052212412442,Ok,MCF7,spheroid
D6,A,EX_arg_L_LPAREN_e_RPAREN_,0.0091480319981692,A_D6,D6,A,1,0.08955224,A,0.0008192267570277278,Ok,MCF7,spheroid
D6,A,EX_arg_L_b,0.0091480319981692,A_D6,D6,A,1,0.08955224,A,0.0008192267570277278,Ok,MCF7,spheroid
D6,A,EX_biomass_c,0.0063781465797568,A_D6,D6,A,1,0.08955224,A,0.0005711773132655602,Ok,MCF7,spheroid
D6,A,EX_co2_LPAREN_e_RPAREN_,0.0009068424889048,A_D6,D6,A,1,0.08955224,A,8.12097762086e-05,Ok,MCF7,spheroid
D6,A,EX_co2_b,0.0009068424889048,A_D6,D6,A,1,0.08955224,A,8.12097762086e-05,Ok,MCF7,spheroid
D6,A,EX_h_LPAREN_e_RPAREN_,0.0357899565586094,A_D6,D6,A,1,0.08955224,A,0.003205070779326163,Ok,MCF7,spheroid
D6,A,EX_h_b,0.0357899565586094,A_D6,D6,A,1,0.08955224,A,0.003205070779326163,Ok,MCF7,spheroid
D6,A,EX_hco3_LPAREN_e_RPAREN_,0.0154071519982596,A_D6,D6,A,1,0.08955224,A,0.0013797449734646234,Ok,MCF7,spheroid
D6,A,EX_hco3_b,0.0154071519982596,A_D6,D6,A,1,0.08955224,A,0.0013797449734646234,Ok,MCF7,spheroid
D6,A,EX_lac_D_LPAREN_e_RPAREN_,0.0358161159067086,A_D6,D6,A,1,0.08955224,A,0.0032074134075453864,Ok,MCF7,spheroid
D6,A,EX_lac_D_b,0.0358161159067086,A_D6,D6,A,1,0.08955224,A,0.0032074134075453864,Ok,MCF7,spheroid
D6,A,EX_nh4_LPAREN_e_RPAREN_,0.0486837258840399,A_D6,D6,A,1,0.08955224,A,0.004359736704461754,Ok,MCF7,spheroid
D6,A,EX_nh4_b,0.0486837258840399,A_D6,D6,A,1,0.08955224,A,0.004359736704461754,Ok,MCF7,spheroid
D6,A,EX_pyr_LPAREN_e_RPAREN_,0.0270559427669327,A_D6,D6,A,1,0.08955224,A,0.0024229202800906216,Ok,MCF7,spheroid
D6,A,EX_pyr_b,0.0270559427669327,A_D6,D6,A,1,0.08955224,A,0.0024229202800906216,Ok,MCF7,spheroid
D6,A,EX_succ_LPAREN_e_RPAREN_,0.0125861145086679,A_D6,D6,A,1,0.08955224,A,0.00112711474714771,Ok,MCF7,spheroid
D6,A,EX_succ_b,0.0125861145086679,A_D6,D6,A,1,0.08955224,A,0.00112711474714771,Ok,MCF7,spheroid
D6,B,EX_ac_LPAREN_e_RPAREN_,0.0020819653905612,B_D6,D6,B,1,0.3880597,B,0.0008079268648715621,Ok,MCF7,spheroid
D6,B,EX_ac_b,0.0020819653905612,B_D6,D6,B,1,0.3880597,B,0.0008079268648715621,Ok,MCF7,spheroid
D6,B,EX_biomass_c,0.0276419680367674,B_D6,D6,B,1,0.3880597,B,0.010726733823757547,Ok,MCF7,spheroid
D6,B,EX_creat_LPAREN_e_RPAREN_,0.0114017589758058,B_D6,D6,B,1,0.3880597,B,0.0044245631676235065,Ok,MCF7,spheroid
D6,B,EX_creat_b,0.0114017589758058,B_D6,D6,B,1,0.3880597,B,0.0044245631676235065,Ok,MCF7,spheroid
D6,B,EX_ethamp_b,1.6377304048113437e-05,B_D6,D6,B,1,0.3880597,B,6.355371695719686e-06,Ok,MCF7,spheroid
D6,B,EX_gly_LPAREN_e_RPAREN_,0.0213788787202781,B_D6,D6,B,1,0.3880597,B,0.008296281262527504,Ok,MCF7,spheroid
D6,B,EX_gly_b,0.0213788787202781,B_D6,D6,B,1,0.3880597,B,0.008296281262527504,Ok,MCF7,spheroid
D6,B,EX_glyc_LPAREN_e_RPAREN_,0.0149813225257554,B_D6,D6,B,1,0.3880597,B,0.005813647524947883,Ok,MCF7,spheroid
D6,B,EX_glyc_b,0.0149813225257554,B_D6,D6,B,1,0.3880597,B,0.005813647524947883,Ok,MCF7,spheroid
D6,B,EX_h2o_LPAREN_e_RPAREN_,0.0692185540547983,B_D6,D6,B,1,0.3880597,B,0.026860931320938815,Ok,MCF7,spheroid
D6,B,EX_h2o_b,0.0692185540547983,B_D6,D6,B,1,0.3880597,B,0.026860931320938815,Ok,MCF7,spheroid
D6,B,EX_h_LPAREN_e_RPAREN_,0.239584955664889,B_D6,D6,B,1,0.3880597,B,0.09297326601983012,Ok,MCF7,spheroid
D6,B,EX_h_b,0.239584955664889,B_D6,D6,B,1,0.3880597,B,0.09297326601983012,Ok,MCF7,spheroid
D6,B,EX_hco3_LPAREN_e_RPAREN_,0.2783824294935179,B_D6,D6,B,1,0.3880597,B,0.1080290020745257,Ok,MCF7,spheroid
D6,B,EX_hco3_b,0.2783824294935179,B_D6,D6,B,1,0.3880597,B,0.1080290020745257,Ok,MCF7,spheroid
D6,B,EX_nh4_LPAREN_e_RPAREN_,0.005528805351222,B_D6,D6,B,1,0.3880597,B,0.002145506545953604,Ok,MCF7,spheroid
D6,B,EX_nh4_b,0.005528805351222,B_D6,D6,B,1,0.3880597,B,0.002145506545953604,Ok,MCF7,spheroid
D6,B,EX_orot_LPAREN_e_RPAREN_,0.000150019897653,B_D6,D6,B,1,0.3880597,B,5.821667647725388e-05,Ok,MCF7,spheroid
D6,B,EX_orot_b,0.000150019897653,B_D6,D6,B,1,0.3880597,B,5.821667647725388e-05,Ok,MCF7,spheroid
D6,B,EX_ser_L_LPAREN_e_RPAREN_,0.0031106053277048,B_D6,D6,B,1,0.3880597,B,0.0012071005702875264,Ok,MCF7,spheroid
D6,B,EX_ser_L_b,0.0031106053277048,B_D6,D6,B,1,0.3880597,B,0.0012071005702875264,Ok,MCF7,spheroid
D6,B,EX_xylt_LPAREN_e_RPAREN_,0.0009237621944424,B_D6,D6,B,1,0.3880597,B,0.0003584748800466594,Ok,MCF7,spheroid
D6,B,EX_xylt_b,0.0009237621944424,B_D6,D6,B,1,0.3880597,B,0.0003584748800466594,Ok,MCF7,spheroid
D6,C,EX_asp_L_LPAREN_e_RPAREN_,0.0157352669248622,C_D6,D6,C,1,0.5149254,C,0.008102488615391437,Ok,MCF7,spheroid
D6,C,EX_asp_L_b,0.0157352669248622,C_D6,D6,C,1,0.5149254,C,0.008102488615391437,Ok,MCF7,spheroid
D6,C,EX_biomass_c,0.0366810804156801,C_D6,D6,C,1,0.5149254,C,0.01888802000547624,Ok,MCF7,spheroid
D6,C,EX_gln_L_LPAREN_e_RPAREN_,0.0157514306513946,C_D6,D6,C,1,0.5149254,C,0.008110811728741623,Ok,MCF7,spheroid
D6,C,EX_gln_L_b,0.0157514306513946,C_D6,D6,C,1,0.5149254,C,0.008110811728741623,Ok,MCF7,spheroid
D6,C,EX_h2o_LPAREN_e_RPAREN_,0.0189439455725057,C_D6,D6,C,1,0.5149254,C,0.009754718751500725,Ok,MCF7,spheroid
D6,C,EX_h2o_b,0.0189439455725057,C_D6,D6,C,1,0.5149254,C,0.009754718751500725,Ok,MCF7,spheroid
D6,C,EX_h_LPAREN_e_RPAREN_,0.3974898577223196,C_D6,D6,C,1,0.5149254,C,0.2046776239836085,Ok,MCF7,spheroid
D6,C,EX_h_b,0.3974898577223196,C_D6,D6,C,1,0.5149254,C,0.2046776239836085,Ok,MCF7,spheroid
D6,C,EX_hco3_LPAREN_e_RPAREN_,0.2974206052528835,C_D6,D6,C,1,0.5149254,C,0.15314942412808313,Ok,MCF7,spheroid
D6,C,EX_hco3_b,0.2974206052528835,C_D6,D6,C,1,0.5149254,C,0.15314942412808313,Ok,MCF7,spheroid
D6,C,EX_lac_L_LPAREN_e_RPAREN_,0.1201581601795311,C_D6,D6,C,1,0.5149254,C,0.06187248869370912,Ok,MCF7,spheroid
D6,C,EX_lac_L_b,0.1201581601795311,C_D6,D6,C,1,0.5149254,C,0.06187248869370912,Ok,MCF7,spheroid
D6,C,EX_nh4_LPAREN_e_RPAREN_,0.0295346676521556,C_D6,D6,C,1,0.5149254,C,0.015208150554653284,Ok,MCF7,spheroid
D6,C,EX_nh4_b,0.0295346676521556,C_D6,D6,C,1,0.5149254,C,0.015208150554653284,Ok,MCF7,spheroid
D6,C,EX_ser_L_LPAREN_e_RPAREN_,0.0048799045670357,C_D6,D6,C,1,0.5149254,C,0.002512786811142684,Ok,MCF7,spheroid
D6,C,EX_ser_L_b,0.0048799045670357,C_D6,D6,C,1,0.5149254,C,0.002512786811142684,Ok,MCF7,spheroid
D6,C,EX_sfcys_LPAREN_e_RPAREN_,0.0001516712689817,C_D6,D6,C,1,0.5149254,C,7.809938884890946e-05,Ok,MCF7,spheroid
D6,C,EX_slfcys_b,0.0001516712689817,C_D6,D6,C,1,0.5149254,C,7.809938884890946e-05,Ok,MCF7,spheroid
D6,C,EX_sph1p_LPAREN_e_RPAREN_,0.000376604143703,C_D6,D6,C,1,0.5149254,C,0.00019392303933792477,Ok,MCF7,spheroid
D6,C,EX_sph1p_b,0.000376604143703,C_D6,D6,C,1,0.5149254,C,0.00019392303933792477,Ok,MCF7,spheroid
D6,C,EX_tag_hs_LPAREN_e_RPAREN_,0.0002090508636737,C_D6,D6,C,1,0.5149254,C,0.00010764559959752544,Ok,MCF7,spheroid
D6,C,EX_tag_hs_b,0.0002090508636737,C_D6,D6,C,1,0.5149254,C,0.00010764559959752544,Ok,MCF7,spheroid
D6,C,EX_thymd_LPAREN_e_RPAREN_,1.4521098023052564e-05,C_D6,D6,C,1,0.5149254,C,7.47728220795955e-06,Ok,MCF7,spheroid
D6,C,EX_thymd_b,1.4521098023052564e-05,C_D6,D6,C,1,0.5149254,C,7.47728220795955e-06,Ok,MCF7,spheroid
D6_2,A,EX_ala_L_LPAREN_e_RPAREN_,0.0672803244565727,A_D6_2,D6_2,A,1,0.09155224,A,0.006159664411926013,Ok,MCF7,spheroid
D6_2,A,EX_ala_L_b,0.0672803244565727,A_D6_2,D6_2,A,1,0.09155224,A,0.006159664411926013,Ok,MCF7,spheroid
D6_2,A,EX_arg_L_LPAREN_e_RPAREN_,0.0093689194020818,A_D6_2,D6_2,A,1,0.09155224,A,0.0008577455576400494,Ok,MCF7,spheroid
D6_2,A,EX_arg_L_b,0.0093689194020818,A_D6_2,D6_2,A,1,0.09155224,A,0.0008577455576400494,Ok,MCF7,spheroid
D6_2,A,EX_biomass_c,0.006532152626091,A_D6_2,D6_2,A,1,0.09155224,A,0.0005980332049405134,Ok,MCF7,spheroid
D6_2,A,EX_co2_LPAREN_e_RPAREN_,0.0009287390108203,A_D6_2,D6_2,A,1,0.09155224,A,8.50281368159827e-05,Ok,MCF7,spheroid
D6_2,A,EX_co2_b,0.0009287390108203,A_D6_2,D6_2,A,1,0.09155224,A,8.50281368159827e-05,Ok,MCF7,spheroid
D6_2,A,EX_h_LPAREN_e_RPAREN_,0.036654137028459,A_D6_2,D6_2,A,1,0.09155224,A,0.0033557683502223653,Ok,MCF7,spheroid
D6_2,A,EX_h_b,0.036654137028459,A_D6_2,D6_2,A,1,0.09155224,A,0.0033557683502223653,Ok,MCF7,spheroid
D6_2,A,EX_hco3_LPAREN_e_RPAREN_,0.0157791714454221,A_D6_2,D6_2,A,1,0.09155224,A,0.0014446184911724308,Ok,MCF7,spheroid
D6_2,A,EX_hco3_b,0.0157791714454221,A_D6_2,D6_2,A,1,0.09155224,A,0.0014446184911724308,Ok,MCF7,spheroid
D6_2,A,EX_lac_D_LPAREN_e_RPAREN_,0.0366809280173844,A_D6_2,D6_2,A,1,0.09155224,A,0.0033582211252703004,Ok,MCF7,spheroid
D6_2,A,EX_lac_D_b,0.0366809280173844,A_D6_2,D6_2,A,1,0.09155224,A,0.0033582211252703004,Ok,MCF7,spheroid
D6_2,A,EX_nh4_LPAREN_e_RPAREN_,0.0498592379313821,A_D6_2,D6_2,A,1,0.09155224,A,0.004564724917310997,Ok,MCF7,spheroid
D6_2,A,EX_nh4_b,0.0498592379313821,A_D6_2,D6_2,A,1,0.09155224,A,0.004564724917310997,Ok,MCF7,spheroid
D6_2,A,EX_pyr_LPAREN_e_RPAREN_,0.0277092326722798,A_D6_2,D6_2,A,1,0.09155224,A,0.0025368423198284017,Ok,MCF7,spheroid
D6_2,A,EX_pyr_b,0.0277092326722798,A_D6_2,D6_2,A,1,0.09155224,A,0.0025368423198284017,Ok,MCF7,spheroid
D6_2,A,EX_succ_LPAREN_e_RPAREN_,0.0128900174858026,A_D6_2,D6_2,A,1,0.09155224,A,0.001180109974464396,Ok,MCF7,spheroid
D6_2,A,EX_succ_b,0.0128900174858026,A_D6_2,D6_2,A,1,0.09155224,A,0.001180109974464396,Ok,MCF7,spheroid
D6_2,B,EX_ac_LPAREN_e_RPAREN_,0.0021691581888606,B_D6_2,D6_2,B,1,0.403597,B,0.0008754657375495715,Ok,MCF7,spheroid
D6_2,B,EX_ac_b,0.0021691581888606,B_D6_2,D6_2,B,1,0.403597,B,0.0008754657375495715,Ok,MCF7,spheroid
D6_2,B,EX_biomass_c,0.0287996148230941,B_D6_2,D6_2,B,1,0.403597,B,0.011623438143756309,Ok,MCF7,spheroid
D6_2,B,EX_creat_LPAREN_e_RPAREN_,0.0118792651222299,B_D6_2,D6_2,B,1,0.403597,B,0.004794435765536621,Ok,MCF7,spheroid
D6_2,B,EX_creat_b,0.0118792651222299,B_D6_2,D6_2,B,1,0.403597,B,0.004794435765536621,Ok,MCF7,spheroid
D6_2,B,EX_gly_LPAREN_e_RPAREN_,0.0213292940479532,B_D6_2,D6_2,B,1,0.403597,B,0.008608439089871767,Ok,MCF7,spheroid
D6_2,B,EX_gly_b,0.0213292940479532,B_D6_2,D6_2,B,1,0.403597,B,0.008608439089871767,Ok,MCF7,spheroid
D6_2,B,EX_glyc_LPAREN_e_RPAREN_,0.0150818673608493,B_D6_2,D6_2,B,1,0.403597,B,0.006086996421236695,Ok,MCF7,spheroid
D6_2,B,EX_glyc_b,0.0150818673608493,B_D6_2,D6_2,B,1,0.403597,B,0.006086996421236695,Ok,MCF7,spheroid
D6_2,B,EX_h2o_LPAREN_e_RPAREN_,0.0875731629744788,B_D6_2,D6_2,B,1,0.403597,B,0.03534426585701072,Ok,MCF7,spheroid
D6_2,B,EX_h2o_b,0.0875731629744788,B_D6_2,D6_2,B,1,0.403597,B,0.03534426585701072,Ok,MCF7,spheroid
D6_2,B,EX_h_LPAREN_e_RPAREN_,0.2474065528983115,B_D6_2,D6_2,B,1,0.403597,B,0.09985254253009983,Ok,MCF7,spheroid
D6_2,B,EX_h_b,0.2474065528983115,B_D6_2,D6_2,B,1,0.403597,B,0.09985254253009983,Ok,MCF7,spheroid
D6_2,B,EX_hco3_LPAREN_e_RPAREN_,0.2885516340769185,B_D6_2,D6_2,B,1,0.403597,B,0.11645857385854207,Ok,MCF7,spheroid
D6_2,B,EX_hco3_b,0.2885516340769185,B_D6_2,D6_2,B,1,0.403597,B,0.11645857385854207,Ok,MCF7,spheroid
D6_2,B,EX_nh4_LPAREN_e_RPAREN_,0.005935408690078,B_D6_2,D6_2,B,1,0.403597,B,0.0023955131410894103,Ok,MCF7,spheroid
D6_2,B,EX_nh4_b,0.005935408690078,B_D6_2,D6_2,B,1,0.403597,B,0.0023955131410894103,Ok,MCF7,spheroid
D6_2,B,EX_orot_LPAREN_e_RPAREN_,0.0053551690085708,B_D6_2,D6_2,B,1,0.403597,B,0.002161330146352149,Ok,MCF7,spheroid
D6_2,B,EX_orot_b,0.0053551690085708,B_D6_2,D6_2,B,1,0.403597,B,0.002161330146352149,Ok,MCF7,spheroid
D6_2,B,EX_ser_L_LPAREN_e_RPAREN_,0.0017288886263938,B_D6_2,D6_2,B,1,0.403597,B,0.0006977742629466584,Ok,MCF7,spheroid
D6_2,B,EX_ser_L_b,0.0017288886263938,B_D6_2,D6_2,B,1,0.403597,B,0.0006977742629466584,Ok,MCF7,spheroid
D6_2,B,EX_xylt_LPAREN_e_RPAREN_,0.0009299618819096,B_D6_2,D6_2,B,1,0.403597,B,0.00037532982565306885,Ok,MCF7,spheroid
D6_2,B,EX_xylt_b,0.0009299618819096,B_D6_2,D6_2,B,1,0.403597,B,0.00037532982565306885,Ok,MCF7,spheroid
D6_2,C,EX_asp_L_LPAREN_e_RPAREN_,0.0213703898752463,C_D6_2,D6_2,C,1,0.5049254,C,0.010790452655914686,Ok,MCF7,spheroid
D6_2,C,EX_asp_L_b,0.0213703898752463,C_D6_2,D6_2,C,1,0.5049254,C,0.010790452655914686,Ok,MCF7,spheroid
D6_2,C,EX_biomass_c,0.0360324334768735,C_D6_2,D6_2,C,1,0.5049254,C,0.018193690886283743,Ok,MCF7,spheroid
D6_2,C,EX_gln_L_LPAREN_e_RPAREN_,0.0173718170642112,C_D6_2,D6_2,C,1,0.5049254,C,0.008771471679873665,Ok,MCF7,spheroid
D6_2,C,EX_gln_L_b,0.0173718170642112,C_D6_2,D6_2,C,1,0.5049254,C,0.008771471679873665,Ok,MCF7,spheroid
D6_2,C,EX_h2o_LPAREN_e_RPAREN_,0.0046581574389454,C_D6_2,D6_2,C,1,0.5049254,C,0.0023520220081224815,Ok,MCF7,spheroid
D6_2,C,EX_h2o_b,0.0046581574389454,C_D6_2,D6_2,C,1,0.5049254,C,0.0023520220081224815,Ok,MCF7,spheroid
D6_2,C,EX_h_LPAREN_e_RPAREN_,0.3991126292065443,C_D6_2,D6_2,C,1,0.5049254,C,0.20152210394716605,Ok,MCF7,spheroid
D6_2,C,EX_h_b,0.3991126292065443,C_D6_2,D6_2,C,1,0.5049254,C,0.20152210394716605,Ok,MCF7,spheroid
D6_2,C,EX_hco3_LPAREN_e_RPAREN_,0.2926422142288815,C_D6_2,D6_2,C,1,0.5049254,C,0.14776248707640366,Ok,MCF7,spheroid
D6_2,C,EX_hco3_b,0.2926422142288815,C_D6_2,D6_2,C,1,0.5049254,C,0.14776248707640366,Ok,MCF7,spheroid
D6_2,C,EX_lac_L_LPAREN_e_RPAREN_,0.1243726407515012,C_D6_2,D6_2,C,1,0.5049254,C,0.06279890538050804,Ok,MCF7,spheroid
D6_2,C,EX_lac_L_b,0.1243726407515012,C_D6_2,D6_2,C,1,0.5049254,C,0.06279890538050804,Ok,MCF7,spheroid
D6_2,C,EX_nh4_LPAREN_e_RPAREN_,0.028116278579486,C_D6_2,D6_2,C,1,0.5049254,C,0.014196623208258399,Ok,MCF7,spheroid
D6_2,C,EX_nh4_b,0.028116278579486,C_D6_2,D6_2,C,1,0.5049254,C,0.014196623208258399,Ok,MCF7,spheroid
