samples,name,reads,relative,genus
com_0.106_0.3694_0.5245,A,1,0.10603464245763947,A
com_0.106_0.3694_0.5245,B,1,0.3694442223462853,B
com_0.106_0.3694_0.5245,C,1,0.5245211351960752,C
com_0.0576_0.4062_0.5362,A,1,0.05757506136068689,A
com_0.0576_0.4062_0.5362,B,1,0.4062030229713978,B
com_0.0576_0.4062_0.5362,C,1,0.5362219156679153,C
com_0.0933_0.3883_0.5184,A,1,0.09333335981489575,A
com_0.0933_0.3883_0.5184,B,1,0.3883065038680562,B
com_0.0933_0.3883_0.5184,C,1,0.518360136317048,C
com_0.1149_0.4093_0.4758,A,1,0.11485165874183306,A
com_0.1149_0.4093_0.4758,B,1,0.4093027345527453,B
com_0.1149_0.4093_0.4758,C,1,0.4758456067054216,C
com_0.0533_0.4236_0.5231,A,1,0.053298657419591895,A
com_0.0533_0.4236_0.5231,B,1,0.4236065283833974,B
com_0.0533_0.4236_0.5231,C,1,0.5230948141970106,C
com_0.1035_0.3746_0.5219,A,1,0.10347270158338379,A
com_0.1035_0.3746_0.5219,B,1,0.37463710388247173,B
com_0.1035_0.3746_0.5219,C,1,0.5218901945341444,C
com_0.0787_0.4004_0.5209,A,1,0.07874562153798258,A
com_0.0787_0.4004_0.5209,B,1,0.4003601716940942,B
com_0.0787_0.4004_0.5209,C,1,0.5208942067679233,C
com_0.0623_0.3762_0.5615,A,1,0.06227891820678189,A
com_0.0623_0.3762_0.5615,B,1,0.3761849024049621,B
com_0.0623_0.3762_0.5615,C,1,0.5615361793882561,C
com_0.1022_0.401_0.4968,A,1,0.10217225370802174,A
com_0.1022_0.401_0.4968,B,1,0.40100514327132714,B
com_0.1022_0.401_0.4968,C,1,0.4968226030206511,C
com_0.1181_0.3732_0.5088,A,1,0.11809412117044213,A
com_0.1181_0.3732_0.5088,B,1,0.3731540100530448,B
com_0.1181_0.3732_0.5088,C,1,0.508751868776513,C
com_0.0776_0.4198_0.5026,A,1,0.07761541845066519,A
com_0.0776_0.4198_0.5026,B,1,0.419829078762392,B
com_0.0776_0.4198_0.5026,C,1,0.5025555027869428,C
com_0.0923_0.379_0.5287,A,1,0.09226976279898075,A
com_0.0923_0.379_0.5287,B,1,0.37899492119376155,B
com_0.0923_0.379_0.5287,C,1,0.5287353160072576,C
com_0.1271_0.4034_0.4695,A,1,0.1271140664167469,A
com_0.1271_0.4034_0.4695,B,1,0.4034172072563668,B
com_0.1271_0.4034_0.4695,C,1,0.46946872632688635,C
com_0.1086_0.3604_0.531,A,1,0.10856063336607763,A
com_0.1086_0.3604_0.531,B,1,0.36040623412375744,B
com_0.1086_0.3604_0.531,C,1,0.5310331325101649,C
com_0.0956_0.3546_0.5498,A,1,0.09556332551271723,A
com_0.0956_0.3546_0.5498,B,1,0.35458705177814226,B
com_0.0956_0.3546_0.5498,C,1,0.5498496227091405,C
com_0.0575_0.4194_0.5231,A,1,0.05751748791083843,A
com_0.0575_0.4194_0.5231,B,1,0.41939262042417685,B
com_0.0575_0.4194_0.5231,C,1,0.5230898916649847,C
com_0.0604_0.4034_0.5362,A,1,0.06041974823780666,A
com_0.0604_0.4034_0.5362,B,1,0.40339960752598303,B
com_0.0604_0.4034_0.5362,C,1,0.5361806442362104,C
com_0.1184_0.3511_0.5305,A,1,0.11841148988296461,A
com_0.1184_0.3511_0.5305,B,1,0.3511145715790471,B
com_0.1184_0.3511_0.5305,C,1,0.5304739385379884,C
com_0.079_0.3996_0.5214,A,1,0.0789994579342047,A
com_0.079_0.3996_0.5214,B,1,0.39960100147626476,B
com_0.079_0.3996_0.5214,C,1,0.5213995405895305,C
com_0.069_0.3973_0.5337,A,1,0.06895161689877992,A
com_0.069_0.3973_0.5337,B,1,0.39734173587566185,B
com_0.069_0.3973_0.5337,C,1,0.5337066472255583,C
com_0.053_0.403_0.544,A,1,0.05297659157376897,A
com_0.053_0.403_0.544,B,1,0.402978135608568,B
com_0.053_0.403_0.544,C,1,0.544045272817663,C
com_0.1082_0.4051_0.4867,A,1,0.10819978858875738,A
com_0.1082_0.4051_0.4867,B,1,0.4050511068131396,B
com_0.1082_0.4051_0.4867,C,1,0.48674910459810306,C
com_0.0579_0.4034_0.5387,A,1,0.05791598076197578,A
com_0.0579_0.4034_0.5387,B,1,0.4033681488466916,B
com_0.0579_0.4034_0.5387,C,1,0.5387158703913326,C
com_0.1235_0.3773_0.4993,A,1,0.12348324596693594,A
com_0.1235_0.3773_0.4993,B,1,0.37725839319386023,B
com_0.1235_0.3773_0.4993,C,1,0.49925836083920383,C
com_0.0799_0.3567_0.5634,A,1,0.07985854396045625,A
com_0.0799_0.3567_0.5634,B,1,0.35673197226056774,B
com_0.0799_0.3567_0.5634,C,1,0.563409483778976,C
com_0.0652_0.3865_0.5484,A,1,0.06517129274629906,A
com_0.0652_0.3865_0.5484,B,1,0.3864573436333447,B
com_0.0652_0.3865_0.5484,C,1,0.5483713636203563,C
com_0.0522_0.4125_0.5354,A,1,0.05218614561364403,A
com_0.0522_0.4125_0.5354,B,1,0.41246038032306287,B
com_0.0522_0.4125_0.5354,C,1,0.5353534740632931,C
com_0.1203_0.3573_0.5224,A,1,0.12028910481458248,A
com_0.1203_0.3573_0.5224,B,1,0.3573469369430052,B
com_0.1203_0.3573_0.5224,C,1,0.5223639582424124,C
com_0.0743_0.4116_0.5141,A,1,0.07434297168689691,A
com_0.0743_0.4116_0.5141,B,1,0.4115729422994755,B
com_0.0743_0.4116_0.5141,C,1,0.5140840860136277,C
com_0.1146_0.3683_0.5171,A,1,0.11455135664449803,A
com_0.1146_0.3683_0.5171,B,1,0.36833982317473823,B
com_0.1146_0.3683_0.5171,C,1,0.5171088201807638,C
com_0.1066_0.3876_0.5057,A,1,0.10662079784806597,A
com_0.1066_0.3876_0.5057,B,1,0.38763021076323145,B
