sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_1a25dhvitd3_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_1a25dhvitd3_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_1glyc_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_1glyc_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_1glyc_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2hb_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2hb_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2hb_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2mcit_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2mcit_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_2mcit_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhoxpeg_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhoxpeg_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhoxpeg_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhphe_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhphe_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_34dhphe_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_35cgmp_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_35cgmp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_35cgmp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_D_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_D_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_D_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3aib_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3mlda_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3mlda_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_3mlda_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abut_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abut_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abut_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abutn_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abutn_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4abutn_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4hphac_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4hphac_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4hphac_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4mptnl_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4mptnl_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4mptnl_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4pyrdx_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4pyrdx_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_4pyrdx_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5HPET_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
