compartments,abundance,growth_rate,reactions,metabolites,sample
A,0.5926483899030844,0.017779257255491253,1431,1166,com_0.5926_0.1428_0.2645
B,0.14283791887602848,0.004283919652037356,872,713,com_0.5926_0.1428_0.2645
C,0.26451369122088714,0.007934007198735816,1462,1193,com_0.5926_0.1428_0.2645
medium,,,124,124,com_0.5926_0.1428_0.2645
A,0.4204042330734736,0.013705974083362814,1431,1166,com_0.4204_0.1143_0.4653
B,0.11429402936803415,0.003725473653653815,872,713,com_0.4204_0.1143_0.4653
C,0.4653017375584922,0.015172002157957231,1462,1193,com_0.4204_0.1143_0.4653
medium,,,124,124,com_0.4204_0.1143_0.4653
A,0.2301337219329131,0.006925433496935421,1431,1166,com_0.2301_0.1709_0.5989
B,0.17092340763060757,0.005010480590481766,872,713,com_0.2301_0.1709_0.5989
C,0.5989428704364793,0.018027134497107217,1462,1193,com_0.2301_0.1709_0.5989
medium,,,124,124,com_0.2301_0.1709_0.5989
A,0.38463523958874285,0.027638064036222786,1431,1166,com_0.3846_0.4621_0.1533
B,0.46208554557935394,0.0020101970458590674,872,713,com_0.3846_0.4621_0.1533
C,0.15327921483190315,0.011012266112176606,1462,1193,com_0.3846_0.4621_0.1533
medium,,,124,124,com_0.3846_0.4621_0.1533
A,0.6890620058338605,0.01687462831545192,1431,1166,com_0.6891_0.0611_0.2498
B,0.06109149938288587,0.0014950447603634795,872,713,com_0.6891_0.0611_0.2498
C,0.24984649478325377,0.0061173886987588135,1462,1193,com_0.6891_0.0611_0.2498
medium,,,124,124,com_0.6891_0.0611_0.2498
A,0.3257302077083225,0.007852384794981642,1431,1166,com_0.3257_0.0085_0.6658
B,0.00847524934399994,0.00020333902892257644,872,713,com_0.3257_0.0085_0.6658
C,0.6657945429476776,0.016052888564338494,1462,1193,com_0.3257_0.0085_0.6658
medium,,,124,124,com_0.3257_0.0085_0.6658
A,0.6648913649750161,0.017231836580079492,1431,1166,com_0.6649_0.0871_0.248
B,0.087125563832954,0.002256944545833262,872,713,com_0.6649_0.0871_0.248
C,0.24798307119202992,0.006425724811225622,1462,1193,com_0.6649_0.0871_0.248
medium,,,124,124,com_0.6649_0.0871_0.248
A,0.13158720954356173,0.01074368556059738,1431,1166,com_0.1316_0.503_0.3654
B,0.5029837796247941,0.0018470229028208726,872,713,com_0.1316_0.503_0.3654
C,0.3654290108316441,0.029840689701957756,1462,1193,com_0.1316_0.503_0.3654
medium,,,124,124,com_0.1316_0.503_0.3654
A,0.3852018573286265,0.018130699391184887,1431,1166,com_0.3852_0.2782_0.3366
B,0.27818447170350097,0.0033403580257688062,872,713,com_0.3852_0.2782_0.3366
C,0.33661367096787254,0.015846632301032948,1462,1193,com_0.3852_0.2782_0.3366
medium,,,124,124,com_0.3852_0.2782_0.3366
A,0.2242151931315829,0.005911624721776032,1431,1166,com_0.2242_0.113_0.6628
B,0.11296815783543564,0.0029780056306547174,872,713,com_0.2242_0.113_0.6628
C,0.6628166490329815,0.017479210898639564,1462,1193,com_0.2242_0.113_0.6628
medium,,,124,124,com_0.2242_0.113_0.6628
A,0.4273120985880013,0.026750156062495502,1431,1166,com_0.4273_0.4536_0.1191
B,0.45356860181574804,0.002047400091032489,872,713,com_0.4273_0.4536_0.1191
C,0.11911929959625066,0.00745560262629523,1462,1193,com_0.4273_0.4536_0.1191
medium,,,124,124,com_0.4273_0.4536_0.1191
A,0.01551870532202337,0.0002861760868312334,1431,1166,com_0.0155_0.1524_0.8321
B,0.15236326524426888,0.002818506226351789,872,713,com_0.0155_0.1524_0.8321
C,0.8321180294337077,0.015398692897605438,1462,1193,com_0.0155_0.1524_0.8321
medium,,,124,124,com_0.0155_0.1524_0.8321
A,0.5851845920755111,0.019131150728972725,1431,1166,com_0.5852_0.4119_0.0029
B,0.41189821877573907,0.0020500481386472856,872,713,com_0.5852_0.4119_0.0029
C,0.002917189148749938,0.0005158625642767763,1462,1193,com_0.5852_0.4119_0.0029
medium,,,124,124,com_0.5852_0.4119_0.0029
A,0.10617086037261281,0.0063640003123911675,1431,1166,com_0.1062_0.4532_0.4407
B,0.4531517256362248,0.0020500287779542025,872,713,com_0.1062_0.4532_0.4407
C,0.4406774139911624,0.026420147817030646,1462,1193,com_0.1062_0.4532_0.4407
medium,,,124,124,com_0.1062_0.4532_0.4407
A,0.008133234671131313,0.0004499882067449493,1431,1166,com_0.0081_0.5206_0.4712
B,0.5206286225634148,0.0017856826307094049,872,713,com_0.0081_0.5206_0.4712
C,0.47123814276545384,0.026131311154000875,1462,1193,com_0.0081_0.5206_0.4712
medium,,,124,124,com_0.0081_0.5206_0.4712
A,0.1419453638788081,0.006511364910875457,1431,1166,com_0.1419_0.3597_0.4983
B,0.35972358690978723,0.0025831867481581096,872,713,com_0.1419_0.3597_0.4983
C,0.49833104921140475,0.022864151527146763,1462,1193,com_0.1419_0.3597_0.4983
medium,,,124,124,com_0.1419_0.3597_0.4983
A,0.1643881007857499,0.022397780065743746,1431,1166,com_0.1644_0.5839_0.2518
B,0.5838542630670975,0.0015921759515210405,872,713,com_0.1644_0.5839_0.2518
C,0.2517576361471525,0.03430235830251945,1462,1193,com_0.1644_0.5839_0.2518
medium,,,124,124,com_0.1644_0.5839_0.2518
A,0.15222774278312717,0.0034169982085313364,1431,1166,com_0.1522_0.1018_0.746
B,0.10180817815162507,0.0022849182137976575,872,713,com_0.1522_0.1018_0.746
C,0.7459640790652478,0.016749630377470022,1462,1193,com_0.1522_0.1018_0.746
medium,,,124,124,com_0.1522_0.1018_0.746
A,0.33345003841924736,0.01660601262307978,1431,1166,com_0.3335_0.2976_0.369
B,0.2975752832426343,0.0031222708533316023,872,713,com_0.3335_0.2976_0.369
C,0.36897467833811837,0.018378013726965584,1462,1193,com_0.3335_0.2976_0.369
medium,,,124,124,com_0.3335_0.2976_0.369
A,0.35274305060169875,0.032088704605047993,1431,1166,com_0.3527_0.5428_0.1044
B,0.5428228413395446,0.0017226549509934967,872,713,com_0.3527_0.5428_0.1044
C,0.1044341080587566,0.009501118249000103,1462,1193,com_0.3527_0.5428_0.1044
medium,,,124,124,com_0.3527_0.5428_0.1044
A,0.22450443173659915,0.02448995243142035,1431,1166,com_0.2245_0.5255_0.25
B,0.5254672508071503,0.0017689558542776642,872,713,com_0.2245_0.5255_0.25
C,0.2500283174562506,0.02727601709327129,1462,1193,com_0.2245_0.5255_0.25
medium,,,124,124,com_0.2245_0.5255_0.25
A,0.10763350532657391,0.007519768784561265,1431,1166,com_0.1076_0.4865_0.4058
B,0.48652661250569024,0.001908993745646503,872,713,com_0.1076_0.4865_0.4058
C,0.405839882167736,0.02835909691487116,1462,1193,com_0.1076_0.4865_0.4058
medium,,,124,124,com_0.1076_0.4865_0.4058
A,0.3297637508790239,0.02357207535310017,1431,1166,com_0.3298_0.4181_0.2522
B,0.4180803123075702,0.002223324902311212,872,713,com_0.3298_0.4181_0.2522
C,0.2521559368134059,0.01802322637282449,1462,1193,com_0.3298_0.4181_0.2522
medium,,,124,124,com_0.3298_0.4181_0.2522
A,0.3484429338925362,0.011921632955289706,1431,1166,com_0.3484_0.1582_0.4933
B,0.15821898078916677,0.004859110388641548,872,713,com_0.3484_0.1582_0.4933
C,0.49333808531829704,0.0168740177876893,1462,1193,com_0.3484_0.1582_0.4933
medium,,,124,124,com_0.3484_0.1582_0.4933
A,0.12513141536666786,0.003443910825329216,1431,1166,com_0.1251_0.2178_0.6571
B,0.2177758834738018,0.004267283527906,872,713,com_0.1251_0.2178_0.6571
C,0.6570927011595303,0.018090529672460446,1462,1193,com_0.1251_0.2178_0.6571
medium,,,124,124,com_0.1251_0.2178_0.6571
A,0.5002264007077428,0.021156301056057068,1431,1166,com_0.5002_0.2972_0.2026
B,0.2972004569266373,0.00312652729656325,872,713,com_0.5002_0.2972_0.2026
C,0.20257314236561993,0.008566102066734783,1462,1193,com_0.5002_0.2972_0.2026
medium,,,124,124,com_0.5002_0.2972_0.2026
A,0.44652614194924384,0.018452650888495493,1431,1166,com_0.4465_0.2393_0.3142
B,0.23929871328295216,0.0038838258611217503,872,713,com_0.4465_0.2393_0.3142
C,0.314175144767804,0.012981365365493588,1462,1193,com_0.4465_0.2393_0.3142
medium,,,124,124,com_0.4465_0.2393_0.3142
A,0.016544571327190446,0.0005584499455982784,1431,1166,com_0.0165_0.3801_0.6033
B,0.38014326838512574,0.0024456528279330632,872,713,com_0.0165_0.3801_0.6033
C,0.6033121602876839,0.02040149514662742,1462,1193,com_0.0165_0.3801_0.6033
medium,,,124,124,com_0.0165_0.3801_0.6033
A,0.33507886860087654,0.010163937475346484,1431,1166,com_0.3351_0.1051_0.5598
B,0.10513739292067621,0.003188443219343734,872,713,com_0.3351_0.1051_0.5598
C,0.5597837384784473,0.016982384362731702,1462,1193,com_0.3351_0.1051_0.5598
medium,,,124,124,com_0.3351_0.1051_0.5598
A,0.39697237931393636,0.024922900006697925,1431,1166,com_0.397_0.4065_0.1965
B,0.40649247770017066,0.002285438564498293,872,713,com_0.397_0.4065_0.1965
C,0.1965351429858931,0.012337189917142595,1462,1193,com_0.397_0.4065_0.1965
medium,,,124,124,com_0.397_0.4065_0.1965
A,0.2502292573438305,0.0171511236187769,1431,1166,com_0.2502_0.4076_0.3422
B,0.4075856195438888,0.002279202659860686,872,713,com_0.2502_0.4076_0.3422
C,0.3421851231122808,0.02345725804101587,1462,1193,com_0.2502_0.4076_0.3422
medium,,,124,124,com_0.2502_0.4076_0.3422
A,0.8610677142591814,0.015176091301875399,1431,1166,com_0.8611_0.053_0.0859
B,0.053029714890185424,0.0009349449345449929,872,713,com_0.8611_0.053_0.0859
C,0.08590257085063331,0.0015155049639843142,1462,1193,com_0.8611_0.053_0.0859
medium,,,124,124,com_0.8611_0.053_0.0859
A,0.2280709227130904,0.007172203334199078,1431,1166,com_0.2281_0.1892_0.5828
B,0.18915224721654295,0.004913102560513435,872,713,com_0.2281_0.1892_0.5828
C,0.5827768300703666,0.01833002259248445,1462,1193,com_0.2281_0.1892_0.5828
medium,,,124,124,com_0.2281_0.1892_0.5828
A,0.3916411755880505,0.012431078978531495,1431,1166,com_0.3916_0.1056_0.5028
B,0.105568496908093,0.003350118250667449,872,713,com_0.3916_0.1056_0.5028
