compartments,abundance,growth_rate,reactions,metabolites,sample
A,0.10603464245763947,0.006992480629287534,1431,1166,com_0.106_0.3694_0.5245
B,0.3694442223462853,0.024365574448728108,872,713,com_0.106_0.3694_0.5245
C,0.5245211351960752,0.03459558185720877,1462,1193,com_0.106_0.3694_0.5245
medium,,,124,124,com_0.106_0.3694_0.5245
A,0.05757506136068689,0.003521488560953674,1431,1166,com_0.0576_0.4062_0.5362
B,0.4062030229713978,0.024850826726017624,872,713,com_0.0576_0.4062_0.5362
C,0.5362219156679153,0.03280740376830899,1462,1193,com_0.0576_0.4062_0.5362
medium,,,124,124,com_0.0576_0.4062_0.5362
A,0.09333335981489575,0.006078067311228928,1431,1166,com_0.0933_0.3883_0.5184
B,0.3883065038680562,0.02529050752161179,872,713,com_0.0933_0.3883_0.5184
C,0.518360136317048,0.033763253633633375,1462,1193,com_0.0933_0.3883_0.5184
medium,,,124,124,com_0.0933_0.3883_0.5184
A,0.11485165874183306,0.00786621669432567,1431,1166,com_0.1149_0.4093_0.4758
B,0.4093027345527453,0.028035802764810224,872,713,com_0.1149_0.4093_0.4758
C,0.4758456067054216,0.032596078991171236,1462,1193,com_0.1149_0.4093_0.4758
medium,,,124,124,com_0.1149_0.4093_0.4758
A,0.053298657419591895,0.0032594133822050884,1431,1166,com_0.0533_0.4236_0.5231
B,0.4236065283833974,0.025912079999143914,872,713,com_0.0533_0.4236_0.5231
C,0.5230948141970106,0.031999994442668496,1462,1193,com_0.0533_0.4236_0.5231
medium,,,124,124,com_0.0533_0.4236_0.5231
A,0.10347270158338379,0.006814255170163769,1431,1166,com_0.1035_0.3746_0.5219
B,0.37463710388247173,0.024674565819486842,872,713,com_0.1035_0.3746_0.5219
C,0.5218901945341444,0.03437539672930997,1462,1193,com_0.1035_0.3746_0.5219
medium,,,124,124,com_0.1035_0.3746_0.5219
A,0.07874562153798258,0.005015118306725113,1431,1166,com_0.0787_0.4004_0.5209
B,0.4003601716940942,0.025502055688989056,872,713,com_0.0787_0.4004_0.5209
C,0.5208942067679233,0.033182080985378046,1462,1193,com_0.0787_0.4004_0.5209
medium,,,124,124,com_0.0787_0.4004_0.5209
A,0.06227891820678189,0.0037690234034982537,1431,1166,com_0.0623_0.3762_0.5615
B,0.3761849024049621,0.02277116604824918,872,713,com_0.0623_0.3762_0.5615
C,0.5615361793882561,0.033993143948746994,1462,1193,com_0.0623_0.3762_0.5615
medium,,,124,124,com_0.0623_0.3762_0.5615
A,0.10217225370802174,0.00681474868732211,1431,1166,com_0.1022_0.401_0.4968
B,0.40100514327132714,0.026749415884333987,872,713,com_0.1022_0.401_0.4968
C,0.4968226030206511,0.033143315290167695,1462,1193,com_0.1022_0.401_0.4968
medium,,,124,124,com_0.1022_0.401_0.4968
A,0.11809412117044213,0.007992708740639912,1431,1166,com_0.1181_0.3732_0.5088
B,0.3731540100530448,0.0252575348207665,872,713,com_0.1181_0.3732_0.5088
C,0.508751868776513,0.034438079768408986,1462,1193,com_0.1181_0.3732_0.5088
medium,,,124,124,com_0.1181_0.3732_0.5088
A,0.07761541845066519,0.004976975374636065,1431,1166,com_0.0776_0.4198_0.5026
B,0.419829078762392,0.026925335618263893,872,713,com_0.0776_0.4198_0.5026
C,0.5025555027869428,0.03223315791395639,1462,1193,com_0.0776_0.4198_0.5026
medium,,,124,124,com_0.0776_0.4198_0.5026
A,0.09226976279898075,0.00595976849467878,1431,1166,com_0.0923_0.379_0.5287
B,0.37899492119376155,0.024482654411417244,872,713,com_0.0923_0.379_0.5287
C,0.5287353160072576,0.03415805811483708,1462,1193,com_0.0923_0.379_0.5287
medium,,,124,124,com_0.0923_0.379_0.5287
A,0.1271140664167469,0.008877231689548258,1431,1166,com_0.1271_0.4034_0.4695
B,0.4034172072563668,0.028175515270168008,872,713,com_0.1271_0.4034_0.4695
C,0.46946872632688635,0.03279104696647999,1462,1193,com_0.1271_0.4034_0.4695
medium,,,124,124,com_0.1271_0.4034_0.4695
A,0.10856063336607763,0.007145232816928614,1431,1166,com_0.1086_0.3604_0.531
B,0.36040623412375744,0.023723501023381503,872,713,com_0.1086_0.3604_0.531
C,0.5310331325101649,0.03495731236995714,1462,1193,com_0.1086_0.3604_0.531
medium,,,124,124,com_0.1086_0.3604_0.531
A,0.09556332551271723,0.006095057076784669,1431,1166,com_0.0956_0.3546_0.5498
B,0.35458705177814226,0.022618377187673074,872,713,com_0.0956_0.3546_0.5498
C,0.5498496227091405,0.035076194205080034,1462,1193,com_0.0956_0.3546_0.5498
medium,,,124,124,com_0.0956_0.3546_0.5498
A,0.05751748791083843,0.0035414992649622705,1431,1166,com_0.0575_0.4194_0.5231
B,0.41939262042417685,0.02582937089412202,872,713,com_0.0575_0.4194_0.5231
C,0.5230898916649847,0.032218045770606614,1462,1193,com_0.0575_0.4194_0.5231
medium,,,124,124,com_0.0575_0.4194_0.5231
A,0.06041974823780666,0.0037116404493009823,1431,1166,com_0.0604_0.4034_0.5362
B,0.40339960752598303,0.024786883654973706,872,713,com_0.0604_0.4034_0.5362
C,0.5361806442362104,0.03294785894707244,1462,1193,com_0.0604_0.4034_0.5362
medium,,,124,124,com_0.0604_0.4034_0.5362
A,0.11841148988296461,0.007886188639999108,1431,1166,com_0.1184_0.3511_0.5305
B,0.3511145715790471,0.02338614649217152,872,713,com_0.1184_0.3511_0.5305
C,0.5304739385379884,0.03533490760161899,1462,1193,com_0.1184_0.3511_0.5305
medium,,,124,124,com_0.1184_0.3511_0.5305
A,0.0789994579342047,0.005031753996620561,1431,1166,com_0.079_0.3996_0.5214
B,0.39960100147626476,0.025456054634308757,872,713,com_0.079_0.3996_0.5214
C,0.5213995405895305,0.033217346092935474,1462,1193,com_0.079_0.3996_0.5214
medium,,,124,124,com_0.079_0.3996_0.5214
A,0.06895161689877992,0.004296442322788081,1431,1166,com_0.069_0.3973_0.5337
B,0.39734173587566185,0.024763512444914582,872,713,com_0.069_0.3973_0.5337
